,Strain,Cef,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
0,CF592_Iso2,1.0,0,-13.361529361503731,-50.532023865888696,-10.752000830824572,27.06551441823662,181.10132256093175,178.44454504139856
1,CF609_Iso3,1.0,1,-158.67627559564707,35.928522633641904,-27.501564143986915,-18.091357224447552,-48.45936638782568,88.04132328929482
2,CH2500,0.0,2,-77.92757132617086,59.854178316631334,-0.04062443688647241,44.61450152501096,218.58630973017986,41.41334421859725
4,CH2522,1.0,4,58.491866308355625,113.35599060462364,-18.515815809323723,-0.6112614041845869,-137.4087370728091,11.62008277056332
5,CH2527,0.0,5,86.94538346368773,88.67295989354153,-17.932853237969784,-0.9682871736793256,-125.0783619470555,79.90609523244656
6,CH2543,0.0,6,7.587440361390911,9.058673023444696,92.33092383681479,-17.72049699315676,316.10897294806125,-107.34334581450523
7,CH2560,1.0,7,-9.854847619933391,-40.68895386385138,92.56216076135418,-17.942457449558248,318.07223667311683,-108.35813472944805
8,CH2582,0.0,8,2.294378614247748,55.66091102967138,-17.291358504913777,1.767912171332571,-191.69487748711876,52.23811189496961
9,CH2591,1.0,9,-7.921845687059559,10.919168818007986,92.74617188817149,-17.86363517817699,317.6464673243177,-103.32053415786089
11,CH2598,0.0,11,56.31888738085781,33.97350779381362,-16.018165461269078,-1.0379185762960426,-157.34647507952283,-110.62982360598221
12,CH2608,1.0,12,19.919082226479986,55.95932567980867,91.44310492910016,-10.654511930877687,241.99281703651008,-18.329336255803256
14,CH2639,1.0,14,-28.987369566205498,-21.679840223926476,92.07226117686996,-17.766216303980407,318.1096722061834,-108.43774316236127
15,CH2657,0.0,15,28.955983377635356,-63.34593770806692,92.90568975757078,-18.117065078916063,317.01553272045527,-107.75686838678199
17,CH2660,1.0,17,64.41468568606004,62.88560449637032,0.9320139768098943,-10.761224377131786,-122.2218289268379,-81.28866882889707
18,CH2665,1.0,18,60.778639665985466,56.24578729358716,18.808882403592573,22.754265397417395,250.94727071596589,81.8664738248196
19,CH2672,0.0,19,-27.77363238499369,-60.88558967992212,40.87454762900023,13.567198050787132,214.66038924895838,94.62342339565417
22,CH2677,0.0,22,-51.97273068470738,43.559759423706375,-13.337069135101235,16.865934385552688,178.5522496448818,177.7285353061126
23,CH2678,0.0,23,68.45760415936272,-24.371242675292653,-15.293238597145153,1.9187805389819585,-57.10487041814649,-58.398254391079355
26,CH2685,0.0,26,109.36160674682216,84.89682367652293,-8.575843086711238,25.609800495876215,269.92655364430067,72.7607507930643
27,CH2687,0.0,27,19.620395262802987,-10.561401001510475,-8.742351653380945,26.331073530012997,252.40749702232142,104.7222758978145
28,CH2690,0.0,28,183.7879516082566,3.2507577885716237,-16.488897566444045,0.6277171084840946,-161.89308027374616,-54.41792864913004
29,CH2698,0.0,29,-37.94160516518076,71.03026793409644,-22.01967792617444,-2.0844196523249767,-155.41468588273958,-104.07259659565437
31,CH2705,1.0,31,52.835722947438484,10.406840705421864,20.570100379277836,22.517131327541975,289.5800995056856,-9.101924022601793
32,CH2706,1.0,32,-5.2756973963149205,82.27585403712479,-22.23050988062067,-4.638804441817423,-123.02098276867754,22.3073884188695
33,CH2707,1.0,33,173.6447222705608,-11.35909270940252,-20.048769690751342,-5.719962934092944,-167.35180232403255,-89.85602996484415
34,CH2713,0.0,34,169.85496518716454,-74.59926360332665,16.376627638769815,36.79541836568864,202.86134870502443,30.153551883466015
35,CH2718,0.0,35,64.86588390674412,9.255767738071912,-15.081860969835164,0.7587713981083013,-221.77910011191008,13.950775158693691
36,CH2724,0.0,36,-7.432267656772998,16.139684106083216,-17.836096964974843,-6.9988903960332545,-106.47109183811168,42.47350316037675
37,CH2730,0.0,37,104.38113904974179,0.1606327993647755,11.10344536630068,5.224870038745026,230.5262266214114,142.9706054804599
39,CH2735,0.0,39,12.443614326915682,103.49359324561688,-18.171162470592503,1.8519068095018625,-164.29291991952613,-72.6014111638889
40,CH2747,0.0,40,43.929082774206485,86.86814112838425,-46.385437065126325,-17.297524420493453,-207.79015932966755,64.21102206868859
42,CH2756,0.0,42,-89.55051358653647,35.88052095016276,-19.544874585662424,-5.797726251648738,-169.2339023899554,-69.5818334579422
