,Strain,Mer,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
1,CF609_Iso3,1.0,1,-87.74949239450693,-19.08265986800563,-4.474999026461971,3.9004568878569117,24.432217900298358,16.415766833766085
2,CH2500,0.0,2,-39.16836180950686,-18.623372251073217,2.207416177489503,-8.86637941169098,-31.649828482883066,-43.639970131623876
3,CH2502,1.0,3,15.269336936862219,-9.574049554506859,-4.860414452495158,0.9310938363778991,25.14604410969803,12.791012117061264
5,CH2527,0.0,5,60.748702803909346,-45.541448813087165,-5.987497360854957,0.6978042460411213,22.49276782080261,14.866295375440018
6,CH2543,1.0,6,9.224284000677597,-13.918564733582562,21.080798745974693,3.960047189291295,-65.37334474000434,29.340020608373763
7,CH2560,0.0,7,-0.21759534090105873,6.395518059755013,21.91767396138408,4.19990031684406,-65.50699655959447,29.531523717240518
9,CH2591,1.0,9,-1.713353860521953,-16.097500720422172,21.829790922940788,4.075769271316425,-64.85007871951144,28.299348984617566
10,CH2597,0.0,10,66.70236737655085,-40.438487430947696,-6.69491898236039,-4.281789410273316,27.35286745064825,-8.637453877106829
11,CH2598,1.0,11,32.16312101259645,-16.226690692116335,-5.02320719446131,-3.6588118337506605,26.05834651984942,0.37596347607287584
12,CH2608,1.0,12,21.25704945744594,-38.29871601724539,16.920778904730227,-1.5842456976003696,-58.567704478280675,8.172531919496642
13,CH2623,1.0,13,-9.34879595430738,-44.84420816732469,-3.8115437274605517,-1.0193828158359635,19.405545904565688,17.170436167815467
14,CH2639,1.0,14,-14.070162879722389,-3.2751015754076054,22.218195220512666,4.291626352270919,-66.1199514060546,30.849143712277964
15,CH2657,1.0,15,21.954972621189235,26.868913199975363,21.686756341901464,4.431925463014029,-65.98753577637578,30.49291967441299
16,CH2658,1.0,16,52.985111063685835,-26.157662231145167,-3.056723146884061,-0.23398669818426754,15.405182715814046,9.112178040460726
17,CH2660,1.0,17,23.06763975970569,-20.15132590170422,-5.874913940055567,-5.514027875456789,28.48620267388384,-10.066032774574893
18,CH2665,1.0,18,37.14070588324137,-30.595171784913948,3.412840813207024,-6.8993165956219045,-34.3108859775293,-26.416841744649133
19,CH2672,1.0,19,-9.934864380035998,27.025749934289866,5.491296772125045,-1.7320155287868397,-33.155912984457174,-21.371145360324935
20,CH2674,1.0,20,93.89684808405195,57.182916487193026,17.120074748187637,-0.9090284301761695,-59.79995060133556,15.146544480324891
21,CH2675,1.0,21,-19.096699294743647,10.707040832607357,20.479101214703377,4.034444058730003,-63.4251091245243,27.370122375152945
22,CH2677,1.0,22,-19.083400766917485,-13.676442685304702,-0.14237752347659982,-6.107778249568214,-22.42361700089149,-27.81155349134323
23,CH2678,0.0,23,32.799286025786394,10.774112673910448,-5.354069402881851,-4.105151409905225,24.265182062669705,-2.8621940003324653
24,CH2680,0.0,24,-25.391078555220695,-15.620679555560526,-4.94376641942433,-4.04755178754017,24.04960964091975,-10.314363581058018
25,CH2682,1.0,25,25.139268217545947,-17.658905036478746,-5.604390048942656,1.2672807107496915,24.415982764400628,17.633902297974785
26,CH2685,1.0,26,91.49362434714183,-68.94193286111212,0.39498322461102875,-6.301297907873042,-27.22959127033266,-30.141021302469788
27,CH2687,1.0,27,7.047585580863322,3.9861414368023484,3.630553759326919,-5.294865601368976,-30.675031186232527,-18.09868137804747
28,CH2690,0.0,28,151.5158089431443,-33.846627920957715,-3.9921466959511207,-0.25420531916778977,25.177475062725673,-5.543459468813502
29,CH2698,1.0,29,-29.593752310433445,-34.83130749860532,-3.4338266408307745,1.4917094953467789,20.933914800228383,8.56259139100883
30,CH2699,1.0,30,-12.35741500455882,-5.91005387875774,20.442946833069886,4.0186620673283695,-63.754278109447995,28.57152532298204
31,CH2705,1.0,31,31.05932629507687,-7.940374400143417,3.345735452123218,-6.628437904844006,-39.2361758742719,-12.842105320038016
32,CH2706,1.0,32,2.3197209004359873,-25.251261744391822,-3.3913284719837593,4.384834707026165,25.606252353565733,7.246045563869501
33,CH2707,1.0,33,138.30198093190737,-25.530917787360917,-5.35327446903302,-2.7900801374246047,28.199047864629105,-2.739893364949488
34,CH2713,1.0,34,108.5488055881995,2.117708904216115,1.9471278901924705,-9.77540866621192,-29.1988482623714,-50.63978636125359
36,CH2724,1.0,36,-12.381339204296536,-16.25003911707488,-6.737632264961517,-4.598108910779483,27.55869361320357,-1.288683030450322
38,CH2734,0.0,38,18.561945807102873,-28.644752494919626,0.6364584108684528,-4.891394583817994,-28.6816101046774,-25.7757576756698
39,CH2735,1.0,39,6.848578164273703,-33.86088503917067,-5.291376535262387,-1.9752953360652752,22.02049714282064,-7.147116343442946
40,CH2747,1.0,40,22.971509495494395,-33.063098076121825,-8.201525368374432,9.6292376014989,32.3100290921214,10.108750398798577
41,CH2748,1.0,41,4.50109072047596,28.70327391631858,16.746977443106577,-0.355895061882304,-58.26450706125243,20.648867926800847
42,CH2756,0.0,42,-42.86682816044752,-9.095663462619585,-6.646312598708464,-1.423702861043215,30.051256190302777,5.403491849492831
43,CH2764,0.0,43,-5.677335780722988,-17.352777477894627,-2.888750625755823,-3.501013250941215,13.200600397523996,-0.5895878232970233
44,CH2824,1.0,44,8.342340424561984,-0.3434158155661994,-0.11691317629223996,-6.3845704639384575,-24.50200380083818,-32.60853373697385
45,CH2829,0.0,45,49.55001115694622,-50.58899538983445,1.7521075883318726,-6.344770505996612,-29.526268456783278,-37.73453390314587
46,CH2848,0.0,46,5.762265087119455,-8.766056850750397,-5.30444805054602,-4.678503959421241,25.600383747422175,-0.5498083017934192
47,CH2860,1.0,47,48.917693032104104,-8.20363695915745,-6.44135207553893,-5.749711589341651,28.750524216634577,-11.755995203841238
48,CH2875,1.0,48,32.97065851288233,-24.783639658679252,-7.288120021219829,8.636851596640277,29.24771337240902,23.768357630287724
