,drug,features,test samples,predicted_s,real_s,predicted_r,real_r
0,Cef,genexp,67,45,34,22,33
1,Cef,genexp+snps,67,40,34,27,33
2,Cef,gpa,67,39,34,28,33
3,Cef,genexp+gpa,67,36,34,31,33
4,Cef,genexp+gpa+snps,67,41,34,26,33
5,Cef,gpa+snps,67,47,34,20,33
6,Cef,snps,67,47,34,20,33
7,Cip,genexp,72,34,32,38,40
8,Cip,genexp+snps,72,35,32,37,40
9,Cip,gpa,72,44,32,28,40
10,Cip,genexp+gpa,72,34,32,38,40
11,Cip,genexp+gpa+snps,72,42,32,30,40
12,Cip,gpa+snps,72,47,32,25,40
13,Cip,snps,72,48,32,24,40
14,Mer,genexp,71,9,22,62,49
15,Mer,genexp+snps,71,10,22,61,49
16,Mer,gpa,71,21,22,50,49
17,Mer,genexp+gpa,71,11,22,60,49
18,Mer,genexp+gpa+snps,71,11,22,60,49
19,Mer,gpa+snps,71,11,22,60,49
20,Mer,snps,71,13,22,58,49
21,Tob,genexp,82,58,56,24,26
22,Tob,genexp+snps,82,60,56,22,26
23,Tob,gpa,82,60,56,22,26
24,Tob,genexp+gpa,82,58,56,24,26
25,Tob,genexp+gpa+snps,82,60,56,22,26
26,Tob,gpa+snps,82,59,56,23,26
27,Tob,snps,82,58,56,24,26
