,drug,features,precision_s,precision_r,recall_s,recall_r,accuracy
0,Cef,genexp,0.6571428571428571,0.65625,0.6764705882352942,0.6363636363636364,0.6567164179104478
1,Cef,genexp+snps,0.6785714285714286,0.6153846153846154,0.5588235294117647,0.7272727272727273,0.6417910447761194
2,Cef,gpa,0.6585365853658537,0.7307692307692307,0.7941176470588235,0.5757575757575758,0.6865671641791045
3,Cef,genexp+gpa,0.6744186046511628,0.7916666666666666,0.8529411764705882,0.5757575757575758,0.7164179104477612
4,Cef,genexp+gpa+snps,0.6666666666666666,0.6470588235294118,0.6470588235294118,0.6666666666666666,0.6567164179104478
5,Cef,gpa+snps,0.696969696969697,0.6764705882352942,0.6764705882352942,0.696969696969697,0.6865671641791045
6,Cef,snps,0.6875,0.6571428571428571,0.6470588235294118,0.696969696969697,0.6716417910447762
7,Cip,genexp,0.6857142857142857,0.7837837837837838,0.75,0.725,0.7361111111111112
8,Cip,genexp+snps,0.6486486486486487,0.7714285714285715,0.75,0.675,0.7083333333333334
9,Cip,gpa,0.65,0.8125,0.8125,0.65,0.7222222222222222
10,Cip,genexp+gpa,0.6923076923076923,0.8484848484848485,0.84375,0.7,0.7638888888888888
11,Cip,genexp+gpa+snps,0.6216216216216216,0.7428571428571429,0.71875,0.65,0.6805555555555556
12,Cip,gpa+snps,0.6216216216216216,0.7428571428571429,0.71875,0.65,0.6805555555555556
13,Cip,snps,0.6764705882352942,0.7631578947368421,0.71875,0.725,0.7222222222222222
14,Mer,genexp,0.75,0.8181818181818182,0.5454545454545454,0.9183673469387755,0.8028169014084507
15,Mer,genexp+snps,0.47058823529411764,0.7407407407407407,0.36363636363636365,0.8163265306122449,0.676056338028169
16,Mer,gpa,0.46153846153846156,0.7241379310344828,0.2727272727272727,0.8571428571428571,0.676056338028169
17,Mer,genexp+gpa,0.6,0.7678571428571429,0.4090909090909091,0.8775510204081632,0.7323943661971831
18,Mer,genexp+gpa+snps,0.5,0.7368421052631579,0.3181818181818182,0.8571428571428571,0.6901408450704225
19,Mer,gpa+snps,0.46153846153846156,0.7241379310344828,0.2727272727272727,0.8571428571428571,0.676056338028169
20,Mer,snps,0.46153846153846156,0.7241379310344828,0.2727272727272727,0.8571428571428571,0.676056338028169
21,Tob,genexp,0.9152542372881356,0.9130434782608695,0.9642857142857143,0.8076923076923077,0.9146341463414634
22,Tob,genexp+snps,0.9482758620689655,0.9583333333333334,0.9821428571428571,0.8846153846153846,0.9512195121951219
23,Tob,gpa,0.9322033898305084,0.9565217391304348,0.9821428571428571,0.8461538461538461,0.9390243902439024
24,Tob,genexp+gpa,0.9322033898305084,0.9565217391304348,0.9821428571428571,0.8461538461538461,0.9390243902439024
25,Tob,genexp+gpa+snps,0.9482758620689655,0.9583333333333334,0.9821428571428571,0.8846153846153846,0.9512195121951219
26,Tob,gpa+snps,0.9482758620689655,0.9583333333333334,0.9821428571428571,0.8846153846153846,0.9512195121951219
27,Tob,snps,0.9482758620689655,0.9583333333333334,0.9821428571428571,0.8846153846153846,0.9512195121951219
