,drug,features,precision_s,precision_r,recall_s,recall_r
0,Cef,genexp,0.7058823529411765,0.696969696969697,0.7058823529411765,0.696969696969697
1,Cef,gpa,0.6551724137931034,0.6052631578947368,0.5588235294117647,0.696969696969697
2,Cef,snps,0.7,0.6486486486486487,0.6176470588235294,0.7272727272727273
3,Cip,genexp,0.6756756756756757,0.8,0.78125,0.7
4,Cip,gpa,0.6111111111111112,0.7222222222222222,0.6875,0.65
5,Cip,snps,0.6153846153846154,0.7575757575757576,0.75,0.625
6,Mer,genexp,0.7647058823529411,0.8333333333333334,0.5909090909090909,0.9183673469387755
7,Mer,gpa,0.5625,0.7636363636363637,0.4090909090909091,0.8571428571428571
8,Mer,snps,0.3125,0.6909090909090909,0.22727272727272727,0.7755102040816326
9,Tob,genexp,0.9,0.9090909090909091,0.9642857142857143,0.7692307692307693
10,Tob,gpa,0.9016393442622951,0.9523809523809523,0.9821428571428571,0.7692307692307693
11,Tob,snps,0.9152542372881356,0.9130434782608695,0.9642857142857143,0.8076923076923077
