,drug,features,best C,train samples,features used,precision_s,precision_r,recall_s,recall_r,accuracy
0,Cef,genexp+snps,10000.0,267,116,0.6944444444444444,0.7096774193548387,0.7352941176470589,0.6666666666666666,0.7014925373134329
1,Cef,genexp+gpa,10000.0,267,89,0.75,0.7142857142857143,0.7058823529411765,0.7575757575757576,0.7313432835820896
2,Cef,genexp+gpa+snps,10000.0,267,115,0.7352941176470589,0.7272727272727273,0.7352941176470589,0.7272727272727273,0.7313432835820896
3,Cef,gpa+snps,1291.5496650148827,267,100,0.5757575757575758,0.5588235294117647,0.5588235294117647,0.5757575757575758,0.5671641791044776
4,Cip,genexp+snps,10000.0,286,244,0.7575757575757576,0.8205128205128205,0.78125,0.8,0.7916666666666666
5,Cip,genexp+gpa,10000.0,286,386,0.7142857142857143,0.8108108108108109,0.78125,0.75,0.7638888888888888
6,Cip,genexp+gpa+snps,10000.0,286,296,0.7352941176470589,0.8157894736842105,0.78125,0.775,0.7777777777777778
7,Cip,gpa+snps,10000.0,286,174,0.7428571428571429,0.8378378378378378,0.8125,0.775,0.7916666666666666
8,Mer,genexp+snps,10000.0,283,109,0.875,0.8545454545454545,0.6363636363636364,0.9591836734693877,0.8591549295774648
9,Mer,genexp+gpa,10000.0,283,82,0.8333333333333334,0.8679245283018868,0.6818181818181818,0.9387755102040817,0.8591549295774648
10,Mer,genexp+gpa+snps,10000.0,283,116,0.8823529411764706,0.8703703703703703,0.6818181818181818,0.9591836734693877,0.8732394366197183
11,Mer,gpa+snps,10000.0,283,149,0.75,0.7796610169491526,0.4090909090909091,0.9387755102040817,0.7746478873239436
12,Tob,genexp+snps,10000.0,324,136,0.9464285714285714,0.8846153846153846,0.9464285714285714,0.8846153846153846,0.926829268292683
13,Tob,genexp+gpa,10000.0,324,91,0.9464285714285714,0.8846153846153846,0.9464285714285714,0.8846153846153846,0.926829268292683
14,Tob,genexp+gpa+snps,10000.0,324,166,0.9642857142857143,0.9230769230769231,0.9642857142857143,0.9230769230769231,0.9512195121951219
15,Tob,gpa+snps,10000.0,324,226,0.9016393442622951,0.9523809523809523,0.9821428571428571,0.7692307692307693,0.9146341463414634
