,Strain,Cip,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
0,CF592_Iso2,0.0,0,-9.295903056735082,25.4622622790654,-0.21381403035593327,-6.082352721069965,-23.23649244785243,-29.97587698804329
1,CF609_Iso3,0.0,1,-85.12624344069675,-20.990180484900204,-4.770166764346055,2.831701123996817,25.479659459234263,15.081988583882797
2,CH2500,1.0,2,-36.783171754561046,-19.693519910841523,1.96735527007443,-7.725370921953564,-30.04874620260306,-42.88236609579062
5,CH2527,0.0,5,62.29770741514634,-44.87345670858018,-6.352539760613952,0.31158916129458625,23.844706692643868,14.354212029445293
6,CH2543,1.0,6,11.217675489896537,-15.003576435637445,20.77773687063091,3.9353562978066208,-64.07348841223676,29.768526368555378
7,CH2560,1.0,7,1.7586935562452244,4.843412013036606,21.594165892728125,4.2542297223677075,-64.20075361062996,30.004929960084148
8,CH2582,1.0,8,-2.800230428101213,-14.686542734928706,-6.273867725693095,-1.187068803573493,31.535115559549553,4.106366986023318
9,CH2591,1.0,9,0.3533253339664691,-17.137711097226763,21.52764956058632,4.119926677442146,-63.515068799412816,28.82792913368126
11,CH2598,0.0,11,33.795119271133615,-16.650748831751113,-5.116635758697472,-4.153836419748187,27.28027622920981,-0.2276363514596227
12,CH2608,1.0,12,23.407443382501388,-38.993370242801824,16.75658540564585,-1.0946517267016747,-57.5870118460522,8.872138406046915
13,CH2623,1.0,13,-7.2134528109672935,-45.578146264087906,-4.211282756027366,-1.8070080116399252,21.41461059300226,16.85355109502006
14,CH2639,1.0,14,-11.89821981738772,-4.697314858050517,21.89400660484699,4.3779263387098535,-64.85360257895832,31.24915957001884
15,CH2657,1.0,15,23.619183815000174,25.71678527268005,21.37869238177614,4.544866277391769,-64.70388764734935,30.910123751389484
16,CH2658,1.0,16,54.5689323245468,-26.319436711911905,-3.245847530545646,-0.4890929308457199,16.420903726706854,8.73297406443627
17,CH2660,0.0,17,24.846888976970966,-20.428459325828374,-5.823911422145462,-5.769546397108168,29.401808307048398,-9.907971591608124
18,CH2665,1.0,18,39.02884145479559,-30.895166998368804,3.2118640090762067,-6.649294569252142,-33.08879661162475,-26.756810054810384
19,CH2672,1.0,19,-8.194952545053587,26.031495052409873,5.2628124264277885,-1.9707616847677132,-31.80837710704574,-23.026392377990057
20,CH2674,1.0,20,95.03171199367905,57.81968664033377,16.95148576368513,-0.8294187898398997,-58.6338324965433,15.733769599637903
21,CH2675,1.0,21,-17.09093688655399,9.137056422172465,20.131232891893646,4.008803176486326,-62.04029436978222,27.774538887508164
22,CH2677,1.0,22,-16.907007482294247,-14.717381793690285,-0.25095888422898804,-6.196669295161426,-21.39162568247515,-28.856540369191478
23,CH2678,1.0,23,34.545875373749,10.691866085269698,-5.404873280066177,-4.4823136780418755,24.78831915647715,-3.476086479298246
24,CH2680,0.0,24,-23.304483624570377,-17.2891252288523,-4.924708516501129,-4.404012178071088,24.568209763483203,-10.144585374056447
25,CH2682,0.0,25,26.66669866615149,-17.616267156081346,-5.921290802132955,0.3262022273690093,25.7090334007935,17.00061617197354
26,CH2685,0.0,26,93.18421366259341,-67.75992690148156,0.28387462624742366,-5.791153966031537,-25.706746120271596,-29.217323975806885
