,drug,features,best_C,test samples,predicted_s,real_s,predicted_r,real_r
0,Cef,genexp,0.05,67,30,34,37,33
1,Cef,genexp+snps,0.05,67,36,34,31,33
2,Cef,gpa,0.05,67,30,34,37,33
3,Cef,genexp+gpa,0.05,67,35,34,32,33
4,Cef,genexp+gpa+snps,0.05,67,35,34,32,33
5,Cef,gpa+snps,0.05,67,30,34,37,33
6,Cef,snps,0.05,67,31,34,36,33
7,Cip,genexp,0.05,72,38,32,34,40
8,Cip,genexp+snps,0.05,72,36,32,36,40
9,Cip,gpa,0.05,72,39,32,33,40
10,Cip,genexp+gpa,0.05,72,37,32,35,40
11,Cip,genexp+gpa+snps,0.05,72,38,32,34,40
12,Cip,gpa+snps,0.05,72,38,32,34,40
13,Cip,snps,0.05,72,36,32,36,40
14,Mer,genexp,0.05,71,15,22,56,49
15,Mer,genexp+snps,0.05,71,14,22,57,49
16,Mer,gpa,0.05,71,18,22,53,49
17,Mer,genexp+gpa,0.05,71,13,22,58,49
18,Mer,genexp+gpa+snps,0.05,71,14,22,57,49
19,Mer,gpa+snps,0.05,71,20,22,51,49
20,Mer,snps,0.05,71,19,22,52,49
21,Tob,genexp,0.05,82,57,56,25,26
22,Tob,genexp+snps,0.05,82,57,56,25,26
23,Tob,gpa,0.05,82,58,56,24,26
24,Tob,genexp+gpa,0.05,82,58,56,24,26
25,Tob,genexp+gpa+snps,0.05,82,57,56,25,26
26,Tob,gpa+snps,0.05,82,59,56,23,26
27,Tob,snps,0.05,82,59,56,23,26
