,drug,features,test samples,predicted_s,real_s,predicted_r,real_r
0,Cef,genexp,67,33,34,34,33
1,Cef,genexp+snps,67,38,34,29,33
2,Cef,gpa,67,33,34,34,33
3,Cef,genexp+gpa,67,34,34,33,33
4,Cef,genexp+gpa+snps,67,36,34,31,33
5,Cef,gpa+snps,67,33,34,34,33
6,Cef,snps,67,34,34,33,33
7,Cip,genexp,72,25,32,47,40
8,Cip,genexp+snps,72,41,32,31,40
9,Cip,gpa,72,37,32,35,40
10,Cip,genexp+gpa,72,35,32,37,40
11,Cip,genexp+gpa+snps,72,42,32,30,40
12,Cip,gpa+snps,72,41,32,31,40
13,Cip,snps,72,36,32,36,40
14,Mer,genexp,71,8,22,63,49
15,Mer,genexp+snps,71,12,22,59,49
16,Mer,gpa,71,18,22,53,49
17,Mer,genexp+gpa,71,8,22,63,49
18,Mer,genexp+gpa+snps,71,13,22,58,49
19,Mer,gpa+snps,71,18,22,53,49
20,Mer,snps,71,18,22,53,49
21,Tob,genexp,82,63,56,19,26
22,Tob,genexp+snps,82,60,56,22,26
23,Tob,gpa,82,59,56,23,26
24,Tob,genexp+gpa,82,59,56,23,26
25,Tob,genexp+gpa+snps,82,59,56,23,26
26,Tob,gpa+snps,82,59,56,23,26
27,Tob,snps,82,59,56,23,26
