,drug,features,precision_s,precision_r,recall_s,recall_r,accuracy
0,Cef,genexp,0.75,0.7142857142857143,0.7058823529411765,0.7575757575757576,0.7313432835820896
1,Cef,genexp+snps,0.65625,0.6285714285714286,0.6176470588235294,0.6666666666666666,0.6417910447761194
2,Cef,gpa,0.625,0.6,0.5882352941176471,0.6363636363636364,0.6119402985074627
3,Cef,genexp+gpa,0.696969696969697,0.6764705882352942,0.6764705882352942,0.696969696969697,0.6865671641791045
4,Cef,genexp+gpa+snps,0.65625,0.6285714285714286,0.6176470588235294,0.6666666666666666,0.6417910447761194
5,Cef,gpa+snps,0.6764705882352942,0.6666666666666666,0.6764705882352942,0.6666666666666666,0.6716417910447762
6,Cef,snps,0.6875,0.6571428571428571,0.6470588235294118,0.696969696969697,0.6716417910447762
7,Cip,genexp,0.6571428571428571,0.7567567567567568,0.71875,0.7,0.7083333333333334
8,Cip,genexp+snps,0.6,0.7027027027027027,0.65625,0.65,0.6527777777777778
9,Cip,gpa,0.6388888888888888,0.75,0.71875,0.675,0.6944444444444444
10,Cip,genexp+gpa,0.6363636363636364,0.717948717948718,0.65625,0.7,0.6805555555555556
11,Cip,genexp+gpa+snps,0.6052631578947368,0.7352941176470589,0.71875,0.625,0.6666666666666666
12,Cip,gpa+snps,0.6052631578947368,0.7352941176470589,0.71875,0.625,0.6666666666666666
13,Cip,snps,0.5945945945945946,0.7142857142857143,0.6875,0.625,0.6527777777777778
14,Mer,genexp,0.7777777777777778,0.8490566037735849,0.6363636363636364,0.9183673469387755,0.8309859154929577
15,Mer,genexp+snps,0.6923076923076923,0.7758620689655172,0.4090909090909091,0.9183673469387755,0.7605633802816901
16,Mer,gpa,0.5,0.7547169811320755,0.4090909090909091,0.8163265306122449,0.6901408450704225
17,Mer,genexp+gpa,0.6666666666666666,0.8113207547169812,0.5454545454545454,0.8775510204081632,0.7746478873239436
18,Mer,genexp+gpa+snps,0.6923076923076923,0.7758620689655172,0.4090909090909091,0.9183673469387755,0.7605633802816901
19,Mer,gpa+snps,0.35294117647058826,0.7037037037037037,0.2727272727272727,0.7755102040816326,0.6197183098591549
20,Mer,snps,0.35714285714285715,0.7017543859649122,0.22727272727272727,0.8163265306122449,0.6338028169014085
21,Tob,genexp,0.9298245614035088,0.88,0.9464285714285714,0.8461538461538461,0.9146341463414634
22,Tob,genexp+snps,0.9473684210526315,0.92,0.9642857142857143,0.8846153846153846,0.9390243902439024
23,Tob,gpa,0.9482758620689655,0.9583333333333334,0.9821428571428571,0.8846153846153846,0.9512195121951219
24,Tob,genexp+gpa,0.9298245614035088,0.88,0.9464285714285714,0.8461538461538461,0.9146341463414634
25,Tob,genexp+gpa+snps,0.9473684210526315,0.92,0.9642857142857143,0.8846153846153846,0.9390243902439024
26,Tob,gpa+snps,0.9152542372881356,0.9130434782608695,0.9642857142857143,0.8076923076923077,0.9146341463414634
27,Tob,snps,0.9152542372881356,0.9130434782608695,0.9642857142857143,0.8076923076923077,0.9146341463414634
