,drug,features,precision_s,precision_r,recall_s,recall_r,accuracy
0,Cef,genexp,0.6363636363636364,0.6176470588235294,0.6176470588235294,0.6363636363636364,0.6268656716417911
1,Cef,genexp+snps,0.6842105263157895,0.7241379310344828,0.7647058823529411,0.6363636363636364,0.7014925373134329
2,Cef,gpa,0.6363636363636364,0.6176470588235294,0.6176470588235294,0.6363636363636364,0.6268656716417911
3,Cef,genexp+gpa,0.6764705882352942,0.6666666666666666,0.6764705882352942,0.6666666666666666,0.6716417910447762
4,Cef,genexp+gpa+snps,0.6666666666666666,0.6774193548387096,0.7058823529411765,0.6363636363636364,0.6716417910447762
5,Cef,gpa+snps,0.7272727272727273,0.7058823529411765,0.7058823529411765,0.7272727272727273,0.7164179104477612
6,Cef,snps,0.7647058823529411,0.7575757575757576,0.7647058823529411,0.7575757575757576,0.7611940298507462
7,Cip,genexp,0.68,0.6808510638297872,0.53125,0.8,0.6805555555555556
8,Cip,genexp+snps,0.6585365853658537,0.8387096774193549,0.84375,0.65,0.7361111111111112
9,Cip,gpa,0.6216216216216216,0.7428571428571429,0.71875,0.65,0.6805555555555556
10,Cip,genexp+gpa,0.6857142857142857,0.7837837837837838,0.75,0.725,0.7361111111111112
11,Cip,genexp+gpa+snps,0.6190476190476191,0.8,0.8125,0.6,0.6944444444444444
12,Cip,gpa+snps,0.6097560975609756,0.7741935483870968,0.78125,0.6,0.6805555555555556
13,Cip,snps,0.5833333333333334,0.6944444444444444,0.65625,0.625,0.6388888888888888
14,Mer,genexp,0.75,0.746031746031746,0.2727272727272727,0.9591836734693877,0.7464788732394366
15,Mer,genexp+snps,0.6666666666666666,0.7627118644067796,0.36363636363636365,0.9183673469387755,0.7464788732394366
16,Mer,gpa,0.5,0.7547169811320755,0.4090909090909091,0.8163265306122449,0.6901408450704225
17,Mer,genexp+gpa,0.875,0.7619047619047619,0.3181818181818182,0.9795918367346939,0.7746478873239436
18,Mer,genexp+gpa+snps,0.6923076923076923,0.7758620689655172,0.4090909090909091,0.9183673469387755,0.7605633802816901
19,Mer,gpa+snps,0.3888888888888889,0.7169811320754716,0.3181818181818182,0.7755102040816326,0.6338028169014085
20,Mer,snps,0.3333333333333333,0.6981132075471698,0.2727272727272727,0.7551020408163265,0.6056338028169014
21,Tob,genexp,0.8412698412698413,0.8421052631578947,0.9464285714285714,0.6153846153846154,0.8414634146341463
22,Tob,genexp+snps,0.9166666666666666,0.9545454545454546,0.9821428571428571,0.8076923076923077,0.926829268292683
23,Tob,gpa,0.9322033898305084,0.9565217391304348,0.9821428571428571,0.8461538461538461,0.9390243902439024
24,Tob,genexp+gpa,0.9152542372881356,0.9130434782608695,0.9642857142857143,0.8076923076923077,0.9146341463414634
25,Tob,genexp+gpa+snps,0.9152542372881356,0.9130434782608695,0.9642857142857143,0.8076923076923077,0.9146341463414634
26,Tob,gpa+snps,0.9152542372881356,0.9130434782608695,0.9642857142857143,0.8076923076923077,0.9146341463414634
27,Tob,snps,0.9152542372881356,0.9130434782608695,0.9642857142857143,0.8076923076923077,0.9146341463414634
