,Strain,Cip,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
0,CF592_Iso2,0.0,0,5.331272116722379,48.44024620856855,-15.078869388473068,-10.274762122191891,133.22046277531507,-70.61168318470813
1,CF609_Iso3,0.0,1,150.98811083808135,-43.20636308691059,-21.001500913254382,-6.534613780117971,-55.18653308682813,129.5302713801543
2,CH2500,1.0,2,61.83753142571375,-49.73850388460594,1.9086586433230692,-29.539728427806367,143.78007112174757,-114.59325081030828
5,CH2527,0.0,5,-87.00070250900254,-90.12019543767362,-18.193103465432596,-5.730760848108985,-131.49269431264779,97.14413749747959
6,CH2543,1.0,6,-12.920239727573438,-6.29665000906632,95.87608834112461,22.38878015345914,339.0870392766025,24.17829818856259
7,CH2560,1.0,7,4.133116881073538,41.14924129507616,96.00983358248571,22.46873444883288,342.99269054329113,32.69168475049055
8,CH2582,1.0,8,-11.000790148169473,-59.829984326751735,-19.172343405117658,-12.882152910576641,-167.35831664065145,5.246970714249575
9,CH2591,1.0,9,10.003184098598222,-21.434756334721904,104.85186174684102,9.611263967366542,339.1572581497009,26.191680094534778
11,CH2598,0.0,11,-67.60486371917867,-37.62462438375578,-16.295538468618787,-8.013974394401954,-168.71910171803844,-104.94061875999402
12,CH2608,1.0,12,-23.95272283482042,-58.158946709447505,85.20853746667807,20.00198407676719,251.43422650000687,71.17873070590862
13,CH2623,1.0,13,9.063868298712938,-89.19063120531206,-19.789535048934447,-11.003348247553028,-164.6255851934031,-107.33143682677881
14,CH2639,1.0,14,17.040099060457084,31.399554754304532,92.99067220031014,-6.174299492447355,343.2059105354032,35.5068319338821
15,CH2657,1.0,15,-35.32127827422833,63.57750651256577,93.48405974142524,-6.531216140725355,342.3828175486628,36.628273112970916
16,CH2658,1.0,16,-89.27108817802839,-45.570972177751706,-15.948464135214802,-8.851195929777724,-134.94390680271127,6.514641129104053
17,CH2660,0.0,17,-63.647596466798504,-59.92885925937829,-2.0868289713215837,-5.265948943365017,-90.74958030014898,-77.8289251064244
18,CH2665,1.0,18,-61.34173635436293,-50.44101885212481,-3.315702283776629,-3.080824936752419,195.1057230640628,-60.27924547186713
19,CH2672,1.0,19,17.755489384920416,60.847426013942744,38.090503322239016,2.9088563664559066,195.28858964902088,49.36828458549
20,CH2674,1.0,20,-139.69202352427817,139.53262758672986,71.0459297045999,-9.672341391474149,278.43505645053466,7.133640404721816
21,CH2675,1.0,21,33.91738584935918,32.53620803123828,107.61298497372599,10.780532769995073,345.61451683389015,18.48552976158599
22,CH2677,1.0,22,34.140619365656846,-34.764545128938664,-15.295822813094773,-11.251577398290578,147.62635425013593,-51.331303792439755
