,Strain,Mer,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
1,CF609_Iso3,1.0,1,-159.84400666767635,-28.53601399707768,-23.977202914942335,17.764909053271406,-53.69865037316056,111.60781929674468
2,CH2500,0.0,2,-79.05625324118772,-49.60405907022683,-0.267657240720138,-30.70240469587814,191.99619149610137,1.6242982004491697
3,CH2502,1.0,3,37.229507440170636,-48.57782853586001,-13.992708703635762,-7.005797086211489,-120.69769322367219,-55.847843148715555
5,CH2527,0.0,5,87.1747338579734,-81.614228589,-18.027790115470573,-4.732741177718711,-129.42176478579017,58.39170985165961
6,CH2543,1.0,6,10.521739788014479,-0.19731643855519052,89.62463333291491,3.869110711124878,322.0607485398681,-53.27125147766177
7,CH2560,0.0,7,-5.422018342916423,48.23410789357411,89.79733707195808,3.951410750092659,323.16816838596907,-55.340516943719166
9,CH2591,1.0,9,-12.837084395183902,-16.685126336649688,104.32897148722432,4.778277142941056,321.4213474396752,-53.278936832501984
10,CH2597,0.0,10,98.79756303282731,-64.94424569035091,-15.51763973020233,-12.404029699620864,-83.11824175926613,-69.04674372308018
11,CH2598,1.0,11,60.6658439277496,-30.53214187950369,-17.171008493173247,-0.7613397956154826,-157.16085466802502,-122.19210690402758
12,CH2608,1.0,12,21.22088165168871,-50.45345894191761,87.83493007077188,7.17749716323368,222.38487655713786,-50.29055523787544
13,CH2623,1.0,13,-10.141130273805372,-86.28504183250433,-18.910389969397425,1.7859957340752686,-165.29162773526295,-82.13134952949831
14,CH2639,1.0,14,-22.783131239777582,37.67997084517448,89.66462857536585,2.163676064156677,323.1489246552585,-55.57702222894112
15,CH2657,1.0,15,33.479363169570995,67.14473600789083,90.28545083125026,2.083004522144354,321.94536668391453,-55.22066615988206
16,CH2658,1.0,16,83.21769843570915,-38.44379879695249,-16.861743240208103,2.549960001859075,-133.70885877401645,3.501133763443363
17,CH2660,1.0,17,60.364200176489895,-55.140954438636484,-1.4290878791413453,-11.32345377303911,-121.76781443777729,-60.58571374197279
18,CH2665,1.0,18,55.16410940662512,-51.359933321952774,11.24270608551765,-5.21734792934669,231.28455346171748,54.979029213015174
19,CH2672,1.0,19,-8.359141479593001,61.960287966114116,37.902540287407305,12.77851391595925,249.79145041452557,131.2002255429664
20,CH2674,1.0,20,141.9803754182308,141.8879881404017,66.61868186825144,5.506684850738147,268.274505760316,-36.986437093865646
21,CH2675,1.0,21,-35.525071579293204,40.65215173130525,107.77220508991311,6.667831379313205,331.6117400242661,-54.79690781744745
22,CH2677,1.0,22,-41.3572889245687,-34.52343814454038,-15.66757708068353,-18.196973387195737,184.55027798534934,146.23473116907158
23,CH2678,0.0,23,69.51921912831189,16.105884202135996,-18.79605314495135,6.163904822796838,-59.884986504693956,-93.5381401401408
24,CH2680,0.0,24,-49.40596213909576,-40.48300596549532,-21.697547910726055,-2.53287341864186,-115.91743247689814,-31.74729251754479
25,CH2682,1.0,25,45.59089984551566,-49.300266057461045,-20.497302335398825,-12.359109579893042,-128.02520599413336,70.5130177620981
26,CH2685,1.0,26,106.38979382098778,-77.72112090903518,-12.388443623437931,-12.685302621583308,228.5926294503226,127.68906267162535
27,CH2687,1.0,27,25.201075633446667,15.940189960488548,25.307240154946363,9.542752587653588,249.11806125571673,105.35289972729095
28,CH2690,0.0,28,187.83899186394518,23.684639580296125,-22.329158370407598,-7.075647654943022,-152.37309328371347,-59.10714101345487
29,CH2698,1.0,29,-30.940391335906707,-72.78611552006163,-19.26864630869565,-12.655436762789781,-165.89950763743317,-94.47508576761689
30,CH2699,1.0,30,-39.68849655896926,-10.433528626194391,96.34085355309419,7.713827497888467,331.27627078744376,-54.633374399829364
31,CH2705,1.0,31,55.30717769481544,-6.119144337432049,13.691808480795867,-4.072494474171224,264.4518939844168,-33.79073181472894
32,CH2706,1.0,32,-0.7898568651855703,-77.82035707149178,-24.317607955658175,-6.1135853261255715,-127.26851283636543,-2.03175942771343
33,CH2707,1.0,33,174.16198526653116,29.8833037924079,-17.99180166228181,-9.038650888284097,-163.7576959296233,-106.36221335576302
34,CH2713,1.0,34,177.88346447952566,71.97658973022236,15.025447816589176,-23.089197406599183,186.55619316024067,6.392112416220722
36,CH2724,1.0,36,-23.113895842914566,-38.16702319949213,-12.93794046463107,-4.580548947002392,-78.6015876311884,-34.515436146415134
38,CH2734,0.0,38,32.95537530501342,-54.71409647200313,9.808874967730572,-8.205052329913636,145.22398788493422,119.53872725914914
39,CH2735,1.0,39,24.529381476150547,-87.15017985274248,-22.036287746234716,-4.091367574755658,-163.88818338228143,-65.56444858582826
40,CH2747,1.0,40,45.04208945994412,-88.88908784652959,-46.54118681613474,-13.741637899191712,-192.31178254599658,62.901248489097746
41,CH2748,1.0,41,-1.7704102790688971,75.35273606412555,89.15716190564231,5.7127223695556415,278.1129189796809,-44.664904905247866
42,CH2756,0.0,42,-85.29692575236396,-27.083870316615116,-21.12215176033231,-1.8316953246248124,-169.49255229746092,-67.61578078740335
43,CH2764,0.0,43,-15.91907535341572,-76.99596880124487,-2.7311264193945526,13.001544907916843,-161.10090293123184,-84.18773310220111
44,CH2824,1.0,44,19.876420091648534,12.842926277477671,-6.382445091527236,-10.564782934699302,186.67326401931058,-25.236111047708064
45,CH2829,0.0,45,86.41322868177475,-123.64888845721565,1.5334299650481555,-20.96910816374442,178.44104246553468,12.144768253602217
46,CH2848,0.0,46,23.617366452772803,-22.86397822784124,-5.165848088366676,3.3245417210763906,-58.89452495310604,-61.93287448966313
47,CH2860,1.0,47,71.2593446185038,-31.649174270291773,-11.446279010784817,-10.830819620347464,-149.83746633567728,-69.20986190334852
48,CH2875,1.0,48,47.88113995476096,-56.58113761113119,-47.78568549395732,-15.602806294917976,-202.94580500169425,77.37949361665494
49,CH2922,0.0,49,-30.961178798875874,-83.53934382107535,-12.487593775569152,-13.184918428770283,136.28993123852646,100.82835853741247
50,CH2939,0.0,50,54.71012992823354,-13.634458828465457,-15.326502168427924,-7.898108477061036,-125.44907373941078,-19.945717283160015
51,CH3173,0.0,51,-83.98256462228095,65.69606893026379,89.3381370649092,4.123591658256262,321.37303675076055,-55.024048496913444
