,Strain,Tob,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
0,CF592_Iso2,0.0,0,-12.043747195234847,61.056305383297996,-5.364894365970058,-9.384452085306028,136.99067317230248,67.18663962286648
2,CH2500,0.0,2,-79.16569128325995,-56.71522583480708,6.894240071441499,5.757212561694697,158.08631554743974,119.7612040725693
3,CH2502,0.0,3,35.38885572158336,-39.35171125188212,-6.88263656397916,-0.20379041517777616,-155.32305163219434,23.021522033840718
4,CH2522,0.0,4,65.65147596901367,-109.15118416794475,-17.07600318965476,9.461942122717831,-119.08788806930205,14.000126574344776
5,CH2527,0.0,5,87.84671952069722,-87.76068479227112,-11.708143513118092,-3.6456079175326144,-120.18078938689818,-77.43340475585258
6,CH2543,1.0,6,12.215584589608968,-0.7864441464797942,108.11432119076288,4.025951479894608,342.75257130710855,-32.95846729073864
7,CH2560,1.0,7,-6.922481885154226,45.77183179836195,108.2218339713207,4.099951467644947,356.1312802339112,-64.82417705111602
8,CH2582,0.0,8,-4.0036535676913125,-65.35846325105764,-15.644616520010791,8.738626454355975,-179.33147608685505,-50.7006347609851
9,CH2591,1.0,9,-11.375866829419088,-21.405920229754543,110.98229808776608,7.048050277796242,342.7974589021021,-34.833519302714556
10,CH2597,0.0,10,117.85116379844065,-68.66657237167067,-13.363858552897707,8.349607190784756,-86.8011645743663,54.98165115270778
11,CH2598,0.0,11,63.55910339464558,-30.09287993749939,-10.31619235636303,-4.487347123084047,-158.16123196291525,109.45678049694314
12,CH2608,1.0,12,25.628482148222577,-49.84444502597865,90.17510497765235,-9.473069077005746,257.0478143151484,-73.92905759494062
13,CH2623,1.0,13,-5.108390387880233,-91.46267612386802,-14.699624079766267,-5.158546505264488,-159.26835002288,82.44574353547925
14,CH2639,1.0,14,-29.560941055492126,28.3534254303383,101.63388623681963,17.16114730504794,356.1414264501041,-68.01630527698697
15,CH2657,1.0,15,33.07831396731035,69.78508891844935,102.19016589385387,17.316644849001648,355.2961627574897,-68.99809483878103
16,CH2658,0.0,16,95.77727534723553,-36.708334106886305,-12.211783262843532,-4.010414194198817,-118.94313243617147,8.829975156102334
17,CH2660,0.0,17,66.81250149452495,-59.62480940136997,-13.438323236210552,8.111056505054215,-83.82486004457482,76.62836404578718
18,CH2665,1.0,18,63.70164229279918,-53.810250166085545,5.094173703651342,-8.51537577428698,203.54613258908384,54.501602552643945
19,CH2672,0.0,19,-25.332761374531778,73.32043939369593,43.77078335127896,-10.986200087200448,203.12840024157381,-46.715484525346575
20,CH2674,1.0,20,141.46302018940443,147.65041748245088,73.84258394517009,14.648964203204606,282.9643843896811,-14.750953767976776
21,CH2675,1.0,21,-38.64104834945029,37.43772018165528,113.22790797582587,7.21679377881039,359.1118450743162,-52.30002193170855
22,CH2677,0.0,22,-39.82033869659327,-33.5040839084358,-9.677064516532662,8.771948703095852,135.25554771969212,64.31032238630529
23,CH2678,0.0,23,67.46805425699135,24.496708673456727,-14.924964732022447,-5.293511276560846,-95.14142010828402,54.58148502946938
24,CH2680,0.0,24,-54.575121728040145,-40.12928398599874,-17.33297994691222,-4.447940496065071,-76.51659489362609,40.774370096573705
25,CH2682,0.0,25,50.6447950549548,-46.650842838210394,-15.826542896118529,8.793408043179447,-118.73304880092248,-96.76795769534391
26,CH2685,0.0,26,129.09035668620763,-87.53346176321,-5.4600537140349275,-6.975316671699712,177.38327398618202,85.15880384483995
27,CH2687,0.0,27,27.61470041723594,19.005246815200188,28.978544118458018,-7.8445553787758175,215.8777333153139,40.80366154384758
28,CH2690,0.0,28,208.75949112142706,5.280302672415409,-18.029950719057723,7.645819473275551,-131.26026981417183,47.24333092213139
29,CH2698,1.0,29,-31.767400353625273,-78.36326780238716,-32.234345300162694,-11.873185591854911,-223.924835804926,101.17766451708628
30,CH2699,1.0,30,-33.200418940088724,-9.860954855441435,113.27006847859613,7.223493412069749,359.9405960134101,-53.94501350438475
31,CH2705,1.0,31,54.727504907190045,-3.562716650441143,21.53538041504632,7.23372425660651,258.2202193368301,59.05541460807426
32,CH2706,1.0,32,5.017338822844169,-80.42925754842247,-18.70314952028478,10.722017563443842,-109.47319293744141,38.10088132484715
33,CH2707,1.0,33,186.20114791233132,48.81719135323834,-13.45992280249347,-4.495730549704528,-156.59333379240041,118.32060301071888
34,CH2713,0.0,34,184.5283357525886,91.75579738642521,20.220340691001525,-8.510308448647825,143.5808525407324,132.41571878918705
35,CH2718,0.0,35,73.93986376340011,-3.7452727889299084,-10.242063737327106,12.194236499945298,-138.48541393103875,89.88932598774015
36,CH2724,0.0,36,-23.892688606186805,-34.10381094548484,-7.133850368663622,-1.996493741229019,-89.23218887686888,22.437259677703647
37,CH2730,0.0,37,109.66545690871234,1.7282899343250213,4.942482986170125,-9.619699816310863,175.81157669181223,40.496936074358466
38,CH2734,0.0,38,37.75445648894302,-51.41947128126515,3.0095830070817815,10.629020277961365,141.7896072879436,-37.219633838791204
39,CH2735,0.0,39,12.815808724463174,-103.83883577267189,-19.10679247385886,6.134397014431101,-163.75423581037865,53.43539405913191
40,CH2747,0.0,40,46.054982510910776,-78.57971522646477,-62.76019469092447,63.159354374230816,-164.94883238599675,-136.53103838608402
41,CH2748,1.0,41,-2.2551570448681266,80.33542027859065,92.40516088745161,-9.79576640274796,315.1558410551266,-76.46582676980412
42,CH2756,0.0,42,-83.3573263460803,-25.190545426768228,-16.972731196360886,9.249906843327077,-172.31894853268278,33.450786480118325
43,CH2764,0.0,43,-7.113706775773092,-83.12732368035121,6.333018449264972,-11.101441570134558,-164.7916009910849,66.53087324328295
44,CH2824,0.0,44,20.407929040603676,14.90769600478167,-8.969485632513297,7.638002891897953,173.720248496134,115.66899891519462
45,CH2829,0.0,45,95.54027610500285,-113.32262631589667,8.270745068409806,7.31289620089075,147.79860377167307,127.54773519259265
46,CH2848,0.0,46,16.809094410037442,-24.908295198267197,1.2204340723042193,8.98710106978343,-95.01288962753694,35.33538395745667
47,CH2860,0.0,47,76.37300146310741,-28.382872691590002,-12.89909240798928,-2.1449777084193795,-123.92515048780862,73.37548655580629
48,CH2875,1.0,48,61.587491463117374,-59.788868052641206,-61.087626078531436,60.41250481461968,-174.40476430014883,-159.41930853322134
49,CH2922,0.0,49,-30.35172654640899,-87.76855295678119,-1.4914305610557996,6.572255657049976,143.6317806014019,-60.88470387958067
50,CH2939,0.0,50,61.47529262280121,-7.050808947291893,-11.20655136096177,-5.5130002552797714,-109.00450372429647,24.160302702055862
51,CH3173,1.0,51,-86.1846906800741,60.088636083799095,101.60193249865893,16.679367643169282,355.5735949970111,-68.27575099468336
52,CH3177,0.0,52,-23.246392617737797,-13.718325473212436,-12.943208367581908,-4.871060775554173,-160.69766085518748,81.39093682286047
53,CH3290,1.0,53,-50.6104722362433,-8.887155111414472,69.30072594698574,-9.310908743464251,311.2723217787435,-77.35597058108047
