,drug,features,test samples,predicted_s,real_s,predicted_r,real_r
0,Cef,genexp,67,35,34,32,33
1,Cef,genexp+snps,67,28,34,39,33
2,Cef,gpa,67,41,34,26,33
3,Cef,genexp+gpa,67,43,34,24,33
4,Cef,genexp+gpa+snps,67,33,34,34,33
5,Cef,gpa+snps,67,33,34,34,33
6,Cef,snps,67,32,34,35,33
7,Cip,genexp,72,35,32,37,40
8,Cip,genexp+snps,72,37,32,35,40
9,Cip,gpa,72,40,32,32,40
10,Cip,genexp+gpa,72,39,32,33,40
11,Cip,genexp+gpa+snps,72,37,32,35,40
12,Cip,gpa+snps,72,37,32,35,40
13,Cip,snps,72,34,32,38,40
14,Mer,genexp,71,16,22,55,49
15,Mer,genexp+snps,71,17,22,54,49
16,Mer,gpa,71,13,22,58,49
17,Mer,genexp+gpa,71,15,22,56,49
18,Mer,genexp+gpa+snps,71,14,22,57,49
19,Mer,gpa+snps,71,13,22,58,49
20,Mer,snps,71,13,22,58,49
21,Tob,genexp,82,59,56,23,26
22,Tob,genexp+snps,82,58,56,24,26
23,Tob,gpa,82,59,56,23,26
24,Tob,genexp+gpa,82,59,56,23,26
25,Tob,genexp+gpa+snps,82,58,56,24,26
26,Tob,gpa+snps,82,58,56,24,26
27,Tob,snps,82,58,56,24,26
