,drug,features,test samples,predicted_s,real_s,predicted_r,real_r
0,Cef,genexp,67,10,34,57,33
1,Cef,genexp+snps,67,17,34,50,33
2,Cef,gpa,67,6,34,61,33
3,Cef,genexp+gpa,67,7,34,60,33
4,Cef,genexp+gpa+snps,67,14,34,53,33
5,Cef,gpa+snps,67,38,34,29,33
6,Cef,snps,67,61,34,6,33
7,Cip,genexp,72,2,32,70,40
8,Cip,genexp+snps,72,8,32,64,40
9,Cip,gpa,72,10,32,62,40
10,Cip,genexp+gpa,72,2,32,70,40
11,Cip,genexp+gpa+snps,72,6,32,66,40
12,Cip,gpa+snps,72,15,32,57,40
13,Cip,snps,72,17,32,55,40
14,Mer,genexp,71,1,22,70,49
15,Mer,genexp+snps,71,1,22,70,49
16,Mer,gpa,71,3,22,68,49
17,Mer,genexp+gpa,71,0,22,71,49
18,Mer,genexp+gpa+snps,71,1,22,70,49
19,Mer,gpa+snps,71,7,22,64,49
20,Mer,snps,71,8,22,63,49
21,Tob,genexp,82,9,56,73,26
22,Tob,genexp+snps,82,15,56,67,26
23,Tob,gpa,82,15,56,67,26
24,Tob,genexp+gpa,82,8,56,74,26
25,Tob,genexp+gpa+snps,82,15,56,67,26
26,Tob,gpa+snps,82,17,56,65,26
27,Tob,snps,82,17,56,65,26
