,drug,features,precision_s,precision_r,recall_s,recall_r,accuracy
0,Cef,genexp,0.9,0.5614035087719298,0.2647058823529412,0.9696969696969697,0.6119402985074627
1,Cef,genexp+snps,0.6470588235294118,0.54,0.3235294117647059,0.8181818181818182,0.5671641791044776
2,Cef,gpa,0.8333333333333334,0.5245901639344263,0.14705882352941177,0.9696969696969697,0.5522388059701493
3,Cef,genexp+gpa,0.8571428571428571,0.5333333333333333,0.17647058823529413,0.9696969696969697,0.5671641791044776
4,Cef,genexp+gpa+snps,0.7142857142857143,0.5471698113207547,0.29411764705882354,0.8787878787878788,0.582089552238806
5,Cef,gpa+snps,0.6052631578947368,0.6206896551724138,0.6764705882352942,0.5454545454545454,0.6119402985074627
6,Cef,snps,0.5245901639344263,0.6666666666666666,0.9411764705882353,0.12121212121212122,0.5373134328358209
7,Cip,genexp,0.5,0.5571428571428572,0.03125,0.975,0.5555555555555556
8,Cip,genexp+snps,0.25,0.53125,0.0625,0.85,0.5
9,Cip,gpa,0.4,0.5483870967741935,0.125,0.85,0.5277777777777778
10,Cip,genexp+gpa,0.5,0.5571428571428572,0.03125,0.975,0.5555555555555556
11,Cip,genexp+gpa+snps,0.3333333333333333,0.5454545454545454,0.0625,0.9,0.5277777777777778
12,Cip,gpa+snps,0.4,0.543859649122807,0.1875,0.775,0.5138888888888888
13,Cip,snps,0.4117647058823529,0.5454545454545454,0.21875,0.75,0.5138888888888888
14,Mer,genexp,1.0,0.7,0.045454545454545456,1.0,0.704225352112676
15,Mer,genexp+snps,1.0,0.7,0.045454545454545456,1.0,0.704225352112676
16,Mer,gpa,0.6666666666666666,0.7058823529411765,0.09090909090909091,0.9795918367346939,0.704225352112676
17,Mer,genexp+gpa,0.0,0.6901408450704225,0.0,1.0,0.6901408450704225
18,Mer,genexp+gpa+snps,1.0,0.7,0.045454545454545456,1.0,0.704225352112676
19,Mer,gpa+snps,0.5714285714285714,0.71875,0.18181818181818182,0.9387755102040817,0.704225352112676
20,Mer,snps,0.5,0.7142857142857143,0.18181818181818182,0.9183673469387755,0.6901408450704225
21,Tob,genexp,1.0,0.3561643835616438,0.16071428571428573,1.0,0.4268292682926829
22,Tob,genexp+snps,0.9333333333333333,0.373134328358209,0.25,0.9615384615384616,0.47560975609756095
23,Tob,gpa,0.9333333333333333,0.373134328358209,0.25,0.9615384615384616,0.47560975609756095
24,Tob,genexp+gpa,1.0,0.35135135135135137,0.14285714285714285,1.0,0.4146341463414634
25,Tob,genexp+gpa+snps,0.9333333333333333,0.373134328358209,0.25,0.9615384615384616,0.47560975609756095
26,Tob,gpa+snps,0.9411764705882353,0.38461538461538464,0.2857142857142857,0.9615384615384616,0.5
27,Tob,snps,0.9411764705882353,0.38461538461538464,0.2857142857142857,0.9615384615384616,0.5
