,drug,features,test samples,predicted_s,real_s,predicted_r,real_r
0,Cef,genexp,67,35,34,32,33
1,Cef,genexp+snps,67,35,34,32,33
2,Cef,gpa,67,36,34,31,33
3,Cef,genexp+gpa,67,35,34,32,33
4,Cef,genexp+gpa+snps,67,35,34,32,33
5,Cef,gpa+snps,67,35,34,32,33
6,Cef,snps,67,36,34,31,33
7,Cip,genexp,72,36,32,36,40
8,Cip,genexp+snps,72,33,32,39,40
9,Cip,gpa,72,39,32,33,40
10,Cip,genexp+gpa,72,34,32,38,40
11,Cip,genexp+gpa+snps,72,32,32,40,40
12,Cip,gpa+snps,72,34,32,38,40
13,Cip,snps,72,33,32,39,40
14,Mer,genexp,71,21,22,50,49
15,Mer,genexp+snps,71,20,22,51,49
16,Mer,gpa,71,20,22,51,49
17,Mer,genexp+gpa,71,20,22,51,49
18,Mer,genexp+gpa+snps,71,19,22,52,49
19,Mer,gpa+snps,71,18,22,53,49
20,Mer,snps,71,20,22,51,49
21,Tob,genexp,82,55,56,27,26
22,Tob,genexp+snps,82,54,56,28,26
23,Tob,gpa,82,59,56,23,26
24,Tob,genexp+gpa,82,55,56,27,26
25,Tob,genexp+gpa+snps,82,53,56,29,26
26,Tob,gpa+snps,82,60,56,22,26
27,Tob,snps,82,58,56,24,26
