,drug,features,precision_s,precision_r,recall_s,recall_r,accuracy
0,Cef,genexp,0.7428571428571429,0.75,0.7647058823529411,0.7272727272727273,0.746268656716418
1,Cef,genexp+snps,0.7428571428571429,0.75,0.7647058823529411,0.7272727272727273,0.746268656716418
2,Cef,gpa,0.6944444444444444,0.7096774193548387,0.7352941176470589,0.6666666666666666,0.7014925373134329
3,Cef,genexp+gpa,0.7428571428571429,0.75,0.7647058823529411,0.7272727272727273,0.746268656716418
4,Cef,genexp+gpa+snps,0.7428571428571429,0.75,0.7647058823529411,0.7272727272727273,0.746268656716418
5,Cef,gpa+snps,0.5428571428571428,0.53125,0.5588235294117647,0.5151515151515151,0.5373134328358209
6,Cef,snps,0.5277777777777778,0.5161290322580645,0.5588235294117647,0.48484848484848486,0.5223880597014925
7,Cip,genexp,0.6944444444444444,0.8055555555555556,0.78125,0.725,0.75
8,Cip,genexp+snps,0.7575757575757576,0.8205128205128205,0.78125,0.8,0.7916666666666666
9,Cip,gpa,0.6153846153846154,0.7575757575757576,0.75,0.625,0.6805555555555556
10,Cip,genexp+gpa,0.7058823529411765,0.7894736842105263,0.75,0.75,0.75
11,Cip,genexp+gpa+snps,0.78125,0.825,0.78125,0.825,0.8055555555555556
12,Cip,gpa+snps,0.8235294117647058,0.8947368421052632,0.875,0.85,0.8611111111111112
13,Cip,snps,0.8181818181818182,0.8717948717948718,0.84375,0.85,0.8472222222222222
14,Mer,genexp,0.8095238095238095,0.9,0.7727272727272727,0.9183673469387755,0.8732394366197183
15,Mer,genexp+snps,0.85,0.9019607843137255,0.7727272727272727,0.9387755102040817,0.8873239436619719
16,Mer,gpa,0.8,0.8823529411764706,0.7272727272727273,0.9183673469387755,0.8591549295774648
17,Mer,genexp+gpa,0.85,0.9019607843137255,0.7727272727272727,0.9387755102040817,0.8873239436619719
18,Mer,genexp+gpa+snps,0.8947368421052632,0.9038461538461539,0.7727272727272727,0.9591836734693877,0.9014084507042254
19,Mer,gpa+snps,0.8888888888888888,0.8867924528301887,0.7272727272727273,0.9591836734693877,0.8873239436619719
20,Mer,snps,0.3,0.6862745098039216,0.2727272727272727,0.7142857142857143,0.5774647887323944
21,Tob,genexp,0.9636363636363636,0.8888888888888888,0.9464285714285714,0.9230769230769231,0.9390243902439024
22,Tob,genexp+snps,0.9814814814814815,0.8928571428571429,0.9464285714285714,0.9615384615384616,0.9512195121951219
23,Tob,gpa,0.9322033898305084,0.9565217391304348,0.9821428571428571,0.8461538461538461,0.9390243902439024
24,Tob,genexp+gpa,0.9636363636363636,0.8888888888888888,0.9464285714285714,0.9230769230769231,0.9390243902439024
25,Tob,genexp+gpa+snps,0.9811320754716981,0.8620689655172413,0.9285714285714286,0.9615384615384616,0.9390243902439024
26,Tob,gpa+snps,0.9166666666666666,0.9545454545454546,0.9821428571428571,0.8076923076923077,0.926829268292683
27,Tob,snps,0.9310344827586207,0.9166666666666666,0.9642857142857143,0.8461538461538461,0.926829268292683
