,drug,features,accuracy_training,precision_s,precision_r,recall_s,recall_r,accuracy
0,Cef,genexp,1.0,0.65,0.7037037037037037,0.7647058823529411,0.5757575757575758,0.6716417910447762
1,Cef,genexp+snps,1.0,0.6666666666666666,0.6470588235294118,0.6470588235294118,0.6666666666666666,0.6567164179104478
2,Cef,gpa,1.0,0.6111111111111112,0.6129032258064516,0.6470588235294118,0.5757575757575758,0.6119402985074627
3,Cef,genexp+gpa,1.0,0.6842105263157895,0.7241379310344828,0.7647058823529411,0.6363636363636364,0.7014925373134329
4,Cef,genexp+gpa+snps,1.0,0.6774193548387096,0.6388888888888888,0.6176470588235294,0.696969696969697,0.6567164179104478
5,Cef,gpa+snps,1.0,0.6571428571428571,0.65625,0.6764705882352942,0.6363636363636364,0.6567164179104478
6,Cef,snps,1.0,0.6666666666666666,0.6216216216216216,0.5882352941176471,0.696969696969697,0.6417910447761194
7,Cip,genexp,1.0,0.6857142857142857,0.7837837837837838,0.75,0.725,0.7361111111111112
8,Cip,genexp+snps,1.0,0.6153846153846154,0.7575757575757576,0.75,0.625,0.6805555555555556
9,Cip,gpa,1.0,0.6571428571428571,0.7567567567567568,0.71875,0.7,0.7083333333333334
10,Cip,genexp+gpa,1.0,0.631578947368421,0.7647058823529411,0.75,0.65,0.6944444444444444
11,Cip,genexp+gpa+snps,1.0,0.6410256410256411,0.7878787878787878,0.78125,0.65,0.7083333333333334
12,Cip,gpa+snps,1.0,0.6153846153846154,0.7575757575757576,0.75,0.625,0.6805555555555556
13,Cip,snps,1.0,0.6052631578947368,0.7352941176470589,0.71875,0.625,0.6666666666666666
14,Mer,genexp,1.0,0.625,0.7818181818181819,0.45454545454545453,0.8775510204081632,0.7464788732394366
15,Mer,genexp+snps,1.0,0.5,0.7368421052631579,0.3181818181818182,0.8571428571428571,0.6901408450704225
16,Mer,gpa,1.0,0.6153846153846154,0.7586206896551724,0.36363636363636365,0.8979591836734694,0.7323943661971831
17,Mer,genexp+gpa,1.0,0.7272727272727273,0.7666666666666667,0.36363636363636365,0.9387755102040817,0.7605633802816901
18,Mer,genexp+gpa+snps,1.0,0.6153846153846154,0.7586206896551724,0.36363636363636365,0.8979591836734694,0.7323943661971831
19,Mer,gpa+snps,1.0,0.4117647058823529,0.7222222222222222,0.3181818181818182,0.7959183673469388,0.647887323943662
20,Mer,snps,1.0,0.42857142857142855,0.7192982456140351,0.2727272727272727,0.8367346938775511,0.6619718309859155
21,Tob,genexp,1.0,0.8983050847457628,0.8695652173913043,0.9464285714285714,0.7692307692307693,0.8902439024390244
22,Tob,genexp+snps,1.0,0.9333333333333333,1.0,1.0,0.8461538461538461,0.9512195121951219
23,Tob,gpa,1.0,0.9166666666666666,0.9545454545454546,0.9821428571428571,0.8076923076923077,0.926829268292683
24,Tob,genexp+gpa,1.0,0.9016393442622951,0.9523809523809523,0.9821428571428571,0.7692307692307693,0.9146341463414634
25,Tob,genexp+gpa+snps,1.0,0.9322033898305084,0.9565217391304348,0.9821428571428571,0.8461538461538461,0.9390243902439024
26,Tob,gpa+snps,1.0,0.9322033898305084,0.9565217391304348,0.9821428571428571,0.8461538461538461,0.9390243902439024
27,Tob,snps,1.0,0.9166666666666666,0.9545454545454546,0.9821428571428571,0.8076923076923077,0.926829268292683
