,drug,features,accuracy_training,precision_s,precision_r,recall_s,recall_r,accuracy
0,Cef,genexp,1.0,0.7647058823529411,0.7575757575757576,0.7647058823529411,0.7575757575757576,0.7611940298507462
1,Cef,genexp+snps,1.0,0.7027027027027027,0.7333333333333333,0.7647058823529411,0.6666666666666666,0.7164179104477612
2,Cef,gpa,0.8239700374531835,0.7368421052631579,0.7931034482758621,0.8235294117647058,0.696969696969697,0.7611940298507462
3,Cef,genexp+gpa,1.0,0.7631578947368421,0.8275862068965517,0.8529411764705882,0.7272727272727273,0.7910447761194029
4,Cef,genexp+gpa+snps,1.0,0.7777777777777778,0.8064516129032258,0.8235294117647058,0.7575757575757576,0.7910447761194029
5,Cef,gpa+snps,0.9737827715355806,0.6111111111111112,0.6129032258064516,0.6470588235294118,0.5757575757575758,0.6119402985074627
6,Cef,snps,0.8689138576779026,0.6129032258064516,0.5833333333333334,0.5588235294117647,0.6363636363636364,0.5970149253731343
7,Cip,genexp,1.0,0.6896551724137931,0.7209302325581395,0.625,0.775,0.7083333333333334
8,Cip,genexp+snps,1.0,0.696969696969697,0.7692307692307693,0.71875,0.75,0.7361111111111112
9,Cip,gpa,0.8321678321678322,0.6222222222222222,0.8518518518518519,0.875,0.575,0.7083333333333334
10,Cip,genexp+gpa,1.0,0.6571428571428571,0.7567567567567568,0.71875,0.7,0.7083333333333334
11,Cip,genexp+gpa+snps,1.0,0.7142857142857143,0.8108108108108109,0.78125,0.75,0.7638888888888888
12,Cip,gpa+snps,0.9615384615384616,0.7777777777777778,0.8888888888888888,0.875,0.8,0.8333333333333334
13,Cip,snps,0.9475524475524476,0.7297297297297297,0.8571428571428571,0.84375,0.75,0.7916666666666666
14,Mer,genexp,1.0,0.9230769230769231,0.8275862068965517,0.5454545454545454,0.9795918367346939,0.8450704225352113
15,Mer,genexp+snps,1.0,0.9285714285714286,0.8421052631578947,0.5909090909090909,0.9795918367346939,0.8591549295774648
16,Mer,gpa,0.9399293286219081,0.8823529411764706,0.8703703703703703,0.6818181818181818,0.9591836734693877,0.8732394366197183
17,Mer,genexp+gpa,1.0,0.9375,0.8727272727272727,0.6818181818181818,0.9795918367346939,0.8873239436619719
18,Mer,genexp+gpa+snps,1.0,0.9285714285714286,0.8421052631578947,0.5909090909090909,0.9795918367346939,0.8591549295774648
19,Mer,gpa+snps,1.0,0.7857142857142857,0.8070175438596491,0.5,0.9387755102040817,0.8028169014084507
20,Mer,snps,0.8657243816254417,0.4,0.7254901960784313,0.36363636363636365,0.7551020408163265,0.6338028169014085
21,Tob,genexp,1.0,0.9285714285714286,0.8461538461538461,0.9285714285714286,0.8461538461538461,0.9024390243902439
22,Tob,genexp+snps,1.0,0.9482758620689655,0.9583333333333334,0.9821428571428571,0.8846153846153846,0.9512195121951219
23,Tob,gpa,0.9475308641975309,0.9298245614035088,0.88,0.9464285714285714,0.8461538461538461,0.9146341463414634
24,Tob,genexp+gpa,1.0,0.9649122807017544,0.96,0.9821428571428571,0.9230769230769231,0.9634146341463414
25,Tob,genexp+gpa+snps,1.0,0.9473684210526315,0.92,0.9642857142857143,0.8846153846153846,0.9390243902439024
26,Tob,gpa+snps,0.9845679012345679,0.9298245614035088,0.88,0.9464285714285714,0.8461538461538461,0.9146341463414634
27,Tob,snps,0.9691358024691358,0.9122807017543859,0.84,0.9285714285714286,0.8076923076923077,0.8902439024390244
