,drug,features,accuracy_training,precision_s,precision_r,recall_s,recall_r,accuracy
0,Cef,genexp,1.0,0.6578947368421053,0.6896551724137931,0.7352941176470589,0.6060606060606061,0.6716417910447762
1,Cef,genexp+snps,1.0,0.6363636363636364,0.6176470588235294,0.6176470588235294,0.6363636363636364,0.6268656716417911
2,Cef,gpa,1.0,0.6111111111111112,0.6129032258064516,0.6470588235294118,0.5757575757575758,0.6119402985074627
3,Cef,genexp+gpa,1.0,0.6666666666666666,0.7142857142857143,0.7647058823529411,0.6060606060606061,0.6865671641791045
4,Cef,genexp+gpa+snps,1.0,0.6060606060606061,0.5882352941176471,0.5882352941176471,0.6060606060606061,0.5970149253731343
5,Cef,gpa+snps,1.0,0.625,0.6,0.5882352941176471,0.6363636363636364,0.6119402985074627
6,Cef,snps,1.0,0.6428571428571429,0.5897435897435898,0.5294117647058824,0.696969696969697,0.6119402985074627
7,Cip,genexp,1.0,0.6756756756756757,0.8,0.78125,0.7,0.7361111111111112
8,Cip,genexp+snps,1.0,0.631578947368421,0.7647058823529411,0.75,0.65,0.6944444444444444
9,Cip,gpa,1.0,0.6578947368421053,0.7941176470588235,0.78125,0.675,0.7222222222222222
10,Cip,genexp+gpa,1.0,0.625,0.78125,0.78125,0.625,0.6944444444444444
11,Cip,genexp+gpa+snps,1.0,0.625,0.78125,0.78125,0.625,0.6944444444444444
12,Cip,gpa+snps,1.0,0.6,0.75,0.75,0.6,0.6666666666666666
13,Cip,snps,1.0,0.6052631578947368,0.7352941176470589,0.71875,0.625,0.6666666666666666
14,Mer,genexp,1.0,0.5789473684210527,0.7884615384615384,0.5,0.8367346938775511,0.7323943661971831
15,Mer,genexp+snps,1.0,0.5,0.7454545454545455,0.36363636363636365,0.8367346938775511,0.6901408450704225
16,Mer,gpa,1.0,0.6153846153846154,0.7586206896551724,0.36363636363636365,0.8979591836734694,0.7323943661971831
17,Mer,genexp+gpa,1.0,0.6363636363636364,0.75,0.3181818181818182,0.9183673469387755,0.7323943661971831
18,Mer,genexp+gpa+snps,1.0,0.6428571428571429,0.7719298245614035,0.4090909090909091,0.8979591836734694,0.7464788732394366
19,Mer,gpa+snps,1.0,0.3888888888888889,0.7169811320754716,0.3181818181818182,0.7755102040816326,0.6338028169014085
20,Mer,snps,1.0,0.3333333333333333,0.6949152542372882,0.18181818181818182,0.8367346938775511,0.6338028169014085
21,Tob,genexp,1.0,0.8852459016393442,0.9047619047619048,0.9642857142857143,0.7307692307692307,0.8902439024390244
22,Tob,genexp+snps,1.0,0.9333333333333333,1.0,1.0,0.8461538461538461,0.9512195121951219
23,Tob,gpa,1.0,0.9166666666666666,0.9545454545454546,0.9821428571428571,0.8076923076923077,0.926829268292683
24,Tob,genexp+gpa,1.0,0.8870967741935484,0.95,0.9821428571428571,0.7307692307692307,0.9024390243902439
25,Tob,genexp+gpa+snps,1.0,0.9333333333333333,1.0,1.0,0.8461538461538461,0.9512195121951219
26,Tob,gpa+snps,1.0,0.9166666666666666,0.9545454545454546,0.9821428571428571,0.8076923076923077,0.926829268292683
27,Tob,snps,1.0,0.9016393442622951,0.9523809523809523,0.9821428571428571,0.7692307692307693,0.9146341463414634
