,Strain,Cef,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
0,CF592_Iso2,1.0,0,-12.504184882160043,26.09469378290003,0.18473143291557448,-7.571705365339893,-27.12484669189253,-32.18336165195791
1,CF609_Iso3,1.0,1,-88.16696112921645,-19.682219405000115,-4.162618792146386,4.3973262785018346,24.334796004650247,15.238735835427647
2,CH2500,0.0,2,-39.88237300293118,-19.192044803686592,2.508090804014622,-10.803898476333135,-33.619927590531454,-41.2885262885938
4,CH2522,1.0,4,36.766582727422886,-49.81371509889106,-6.433877784457349,-1.3247750315477012,31.93507846158474,-3.3340456940598386
5,CH2527,0.0,5,59.1608449524704,-45.11115050014011,-5.6603350366943825,0.649472494541877,22.270988597683075,13.551669933796411
6,CH2543,0.0,6,7.883212254189557,-14.475303830650823,21.345248300522254,4.8604700702606465,-64.26601834571447,33.6555836405974
7,CH2560,1.0,7,-1.5630256982898294,6.384217861678092,22.345099629360487,5.001307808397977,-64.38122817211682,33.914154770234774
8,CH2582,0.0,8,-5.813123434173127,-14.382092096609787,-5.946813711704122,1.2851329977170973,30.752512607981078,3.3624786629494636
9,CH2591,1.0,9,-2.9155170929897007,-16.68815560618883,22.27617716516701,4.87875051705754,-63.75120406497085,32.651408709425326
11,CH2598,0.0,11,30.284411152942923,-14.869346277876762,-4.901048874026938,-3.087293094884677,26.295623527602995,1.8516179630606402
12,CH2608,1.0,12,20.086300302889516,-38.53683472318418,16.88817336661638,-1.3296871204699547,-57.697159161169694,13.428985385629815
14,CH2639,1.0,14,-15.315635461912516,-2.9082090247727312,22.67319514775783,5.045605239393794,-64.98542041741936,35.27771655284357
15,CH2657,0.0,15,20.111538199120076,27.0946981765654,22.09833474442021,5.1797606907580125,-64.87455294105094,34.91381652210542
17,CH2660,1.0,17,21.468549927017605,-18.82985423015581,-5.708700638441627,-4.641374979235345,28.293317243138144,-7.831334074038537
18,CH2665,1.0,18,36.010004937375676,-31.276698915196402,3.47197268936878,-7.4945442017429995,-35.62185860382418,-23.114369883823958
19,CH2672,0.0,19,-11.272353490564207,26.549686944100653,5.786272252122,-2.0185996679033407,-34.686691021411605,-20.87312118616737
22,CH2677,0.0,22,-19.939075601271654,-14.11126241734342,0.0754834434434637,-6.729840377789542,-25.13580905464541,-31.158078610498045
23,CH2678,0.0,23,31.298192162581817,11.625209738243381,-5.210452707592609,-3.2987214718918523,24.284309433445596,0.7190005427579749
26,CH2685,0.0,26,89.89965666271756,-68.11741252622615,0.532438829258034,-7.2904887386070865,-29.029144990361775,-29.23041440807296
27,CH2687,0.0,27,5.808167458961348,3.1428563267636216,3.69095702494036,-6.052547485235811,-31.934825966790054,-17.276999005977967
28,CH2690,0.0,28,149.09188659797854,-32.662690321300296,-3.689985671844899,1.2939717380179925,24.21502799278866,-4.83246250416429
29,CH2698,0.0,29,-30.551389652795432,-34.81606044720632,-3.298706047177678,4.06162861119747,21.709183695338933,10.011367938712034
31,CH2705,1.0,31,29.633091696748608,-8.562320057976528,3.486612094545128,-7.361564729525696,-40.29942791672692,-10.005549713263662
32,CH2706,1.0,32,1.3561063919652265,-25.980015218948832,-2.996562989955639,5.2766211949588175,25.872965907143428,7.946421971710535
33,CH2707,1.0,33,136.0202178802245,-24.56668660332457,-5.293357323593398,-2.5927038302857373,28.73658740050737,-1.799707740790339
34,CH2713,0.0,34,106.39975960927387,2.491292065575695,2.2155232964894243,-11.602307558457037,-31.446782339702274,-47.21326476858244
35,CH2718,0.0,35,37.25220221515708,2.395613749991084,-5.277772419253493,0.648931998471669,31.18873963617666,0.6262221734564406
36,CH2724,0.0,36,-13.60375243158081,-15.266674860137858,-6.666000095644302,-4.283551767144002,27.79693283349601,0.9688058681321579
37,CH2730,0.0,37,53.62523330702998,-0.15542394054440606,2.318506238177733,-5.811746308348855,-30.8957745975772,-29.526678328010338
39,CH2735,0.0,39,5.815493302804058,-33.92960894986188,-5.250760415996808,-1.4550839007889982,22.22527303471077,-6.854990805977749
40,CH2747,0.0,40,21.81239912043885,-33.71689312403629,-7.852874735517677,13.935168294065981,32.054788917959144,8.19550722200983
42,CH2756,0.0,42,-43.55549886937136,-10.051007241699885,-6.664874626295707,-0.22273641465513094,30.63622958021924,4.9210831542567774
43,CH2764,1.0,43,-6.988402609297909,-17.783266642067726,-2.7875725655135613,-3.5583773156649627,13.237613778062158,-0.04229166558481978
44,CH2824,0.0,44,6.99594777541977,-0.19006905566939442,0.027967817943653772,-6.788045689864095,-25.934356148528693,-31.04978304383227
45,CH2829,0.0,45,48.22186738329539,-51.36176403084342,1.9676898231174433,-8.05009152317267,-31.321129775619145,-36.78503883891763
47,CH2860,1.0,47,47.323044392937035,-7.041496685285382,-6.31521723800514,-5.300720884568567,28.6915697128354,-10.335299671266043
48,CH2875,0.0,48,31.55678430936295,-25.97905467403863,-7.102048571692569,13.06188941381922,29.387919366778736,21.181176197108954
49,CH2922,0.0,49,-23.266126920163288,-38.735076415595145,0.04262125204579026,-7.694026040940644,-24.489608366960397,-18.419775217651722
50,CH2939,0.0,50,17.8017864026636,2.8345751957115395,-5.5495468345884715,-5.803794533725712,21.63503354549754,-3.407629942049155
