,Strain,Cip,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
0,CF592_Iso2,0.0,0,-9.29590305673505,25.462262279065406,-0.21381403035594482,-6.082352721069972,-23.23649244785256,-29.97587698804324
1,CF609_Iso3,0.0,1,-85.12624344069678,-20.99018048490013,-4.770166764346049,2.83170112399684,25.479659459234284,15.08198858388267
2,CH2500,1.0,2,-36.783171754561074,-19.693519910841506,1.967355270074405,-7.725370921953589,-30.048746202603215,-42.88236609579054
5,CH2527,0.0,5,62.29770741514629,-44.87345670858024,-6.352539760613958,0.31158916129460934,23.84470669264391,14.35421202944508
6,CH2543,1.0,6,11.217675489896523,-15.003576435637457,20.777736870630907,3.9353562978065817,-64.07348841223669,29.768526368555747
7,CH2560,1.0,7,1.7586935562452282,4.843412013036621,21.594165892728125,4.254229722367665,-64.20075361062987,30.00492996008453
8,CH2582,1.0,8,-2.800230428101227,-14.686542734928715,-6.2738677256931,-1.1870688035734744,31.53511555954958,4.106366986023183
9,CH2591,1.0,9,0.35332533396645033,-17.137711097226763,21.527649560586315,4.119926677442109,-63.515068799412745,28.82792913368163
11,CH2598,0.0,11,33.79511927113361,-16.650748831751137,-5.116635758697482,-4.15383641974817,27.28027622920981,-0.22763635145958716
12,CH2608,1.0,12,23.40744338250135,-38.99337024280186,16.75658540564585,-1.0946517267017342,-57.58701184605215,8.87213840604727
13,CH2623,1.0,13,-7.213452810967338,-45.578146264087884,-4.21128275602737,-1.8070080116399172,21.41461059300231,16.85355109502013
14,CH2639,1.0,14,-11.898219817387723,-4.697314858050493,21.894006604846982,4.377926338709813,-64.85360257895823,31.249159570019224
15,CH2657,1.0,15,23.619183815000202,25.716785272680053,21.378692381776137,4.5448662773917246,-64.70388764734926,30.910123751389854
16,CH2658,1.0,16,54.568932324546786,-26.31943671191197,-3.2458475305456513,-0.4890929308457288,16.420903726706882,8.73297406443627
17,CH2660,0.0,17,24.846888976970945,-20.428459325828413,-5.823911422145475,-5.769546397108153,29.401808307048334,-9.90797159160811
18,CH2665,1.0,18,39.0288414547956,-30.895166998368865,3.2118640090761827,-6.6492945692521515,-33.08879661162486,-26.756810054810295
19,CH2672,1.0,19,-8.194952545053557,26.03149505240988,5.262812426427774,-1.9707616847677292,-31.808377107045832,-23.02639237799005
20,CH2674,1.0,20,95.03171199367911,57.81968664033366,16.951485763685135,-0.8294187898399512,-58.63383249654325,15.733769599638258
21,CH2675,1.0,21,-17.09093688655398,9.13705642217249,20.13123289189365,4.008803176486289,-62.040294369782146,27.774538887508463
22,CH2677,1.0,22,-16.90700748229427,-14.717381793690274,-0.25095888422899804,-6.196669295161431,-21.391625682475276,-28.85654036919143
23,CH2678,1.0,23,34.545875373749006,10.691866085269654,-5.404873280066189,-4.482313678041862,24.78831915647713,-3.4760864792981607
24,CH2680,0.0,24,-23.304483624570413,-17.289125228852267,-4.9247085165011395,-4.404012178071074,24.568209763483154,-10.144585374056447
25,CH2682,0.0,25,26.666698666151476,-17.616267156081367,-5.921290802132953,0.32620222736904836,25.709033400793544,17.00061617197337
26,CH2685,0.0,26,93.18421366259336,-67.75992690148165,0.28387462624741255,-5.791153966031544,-25.70674612027171,-29.217323975806845
27,CH2687,1.0,27,8.908596362499448,2.5279268238683272,3.348360316571725,-4.92082355111727,-28.968644664196418,-17.837132442624593
28,CH2690,0.0,28,152.59430067435474,-32.621887018070886,-4.117492217257027,-1.221328896776373,25.857000489975313,-5.6226269468170145
29,CH2698,1.0,29,-27.34117958159024,-35.805281354670605,-3.9760192935286005,0.19255306524327054,23.18004573057305,8.572035630076606
30,CH2699,1.0,30,-10.339258963205598,-7.0676791043270075,20.117646920437284,3.9439274834558073,-62.38493510240485,28.94967725175517
31,CH2705,1.0,31,32.79271384610143,-8.763215539191645,3.1638109233526484,-6.420327783284407,-37.86428240572248,-13.453432475574488
32,CH2706,1.0,32,4.3153244931050505,-26.427030229262662,-3.8257937146976095,3.35545991848854,26.7053988813975,6.76805174501159
33,CH2707,0.0,33,139.41305959111853,-24.312039228844757,-5.469089374015176,-3.342208860618144,29.3747004956835,-3.537554983301739
34,CH2713,0.0,34,109.99898556234358,3.609453785306599,1.7723389696184744,-8.571646294352899,-27.74279697435233,-49.50412701487842
35,CH2718,0.0,35,40.355642844394986,0.8371852209331905,-5.793269084552623,-0.5351956323593221,32.64389632120578,1.230022001214941
36,CH2724,0.0,36,-10.47216591584175,-17.59779334636175,-6.710307456942188,-5.133605535971103,27.971103043280102,-2.692677454649811
