,Strain,Mer,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
1,CF609_Iso3,1.0,1,-87.74949239450697,-19.082659868005585,-4.474999026461969,3.9004568878569277,24.432217900298248,16.415766833766178
2,CH2500,0.0,2,-39.16836180950688,-18.623372251073203,2.2074161774894945,-8.86637941169101,-31.649828482882853,-43.639970131623926
3,CH2502,1.0,3,15.26933693686222,-9.574049554506876,-4.860414452495161,0.931093836377908,25.146044109697996,12.791012117061427
5,CH2527,0.0,5,60.748702803909325,-45.54144881308716,-5.98749736085496,0.6978042460411356,22.492767820802527,14.86629537544011
6,CH2543,1.0,6,9.224284000677592,-13.91856473358256,21.0807987459747,3.9600471892912807,-65.37334474000444,29.340020608373514
7,CH2560,0.0,7,-0.21759534090105634,6.395518059755003,21.917673961384093,4.199900316844044,-65.50699655959457,29.531523717240255
9,CH2591,1.0,9,-1.7133538605219594,-16.09750072042216,21.8297909229408,4.075769271316414,-64.85007871951154,28.299348984617303
10,CH2597,0.0,10,66.70236737655085,-40.43848743094773,-6.694918982360399,-4.281789410273304,27.35286745064832,-8.637453877106708
11,CH2598,1.0,11,32.163121012596456,-16.22669069211636,-5.023207194461318,-3.658811833750655,26.058346519849415,0.3759634760730961
12,CH2608,1.0,12,21.25704945744594,-38.298716017245404,16.920778904730234,-1.5842456976003891,-58.56770447828068,8.1725319194964
13,CH2623,1.0,13,-9.348795954307398,-44.84420816732469,-3.8115437274605535,-1.019382815835959,19.4055459045656,17.170436167815758
14,CH2639,1.0,14,-14.070162879722396,-3.2751015754076045,22.21819522051267,4.291626352270907,-66.1199514060547,30.849143712277716
15,CH2657,1.0,15,21.95497262118925,26.868913199975363,21.686756341901475,4.431925463014014,-65.98753577637589,30.49291967441274
16,CH2658,1.0,16,52.98511106368583,-26.157662231145203,-3.0567231468840625,-0.23398669818426754,15.405182715814,9.112178040460797
17,CH2660,1.0,17,23.06763975970569,-20.151325901704222,-5.874913940055579,-5.5140278754567795,28.486202673883888,-10.066032774574772
18,CH2665,1.0,18,37.14070588324138,-30.59517178491394,3.4128408132070183,-6.899316595621913,-34.310885977529146,-26.416841744649325
19,CH2672,1.0,19,-9.93486438003599,27.02574993428988,5.49129677212505,-1.7320155287868353,-33.15591298445707,-21.37114536032517
20,CH2674,1.0,20,93.89684808405202,57.182916487192976,17.120074748187644,-0.9090284301761873,-59.79995060133558,15.146544480324586
21,CH2675,1.0,21,-19.09669929474365,10.70704083260738,20.479101214703384,4.034444058729985,-63.42510912452439,27.37012237515267
22,CH2677,1.0,22,-19.083400766917485,-13.6764426853047,-0.14237752347660537,-6.107778249568212,-22.423617000891348,-27.811553491343325
23,CH2678,0.0,23,32.79928602578641,10.774112673910446,-5.35406940288186,-4.105151409905219,24.265182062669723,-2.862194000332302
24,CH2680,0.0,24,-25.391078555220705,-15.620679555560534,-4.94376641942434,-4.047551787540163,24.049609640919783,-10.31436358105794
25,CH2682,1.0,25,25.139268217545947,-17.65890503647876,-5.604390048942658,1.2672807107497164,24.41598276440054,17.633902297974934
26,CH2685,1.0,26,91.49362434714182,-68.94193286111214,0.3949832246110261,-6.301297907873048,-27.22959127033251,-30.14102130246993
27,CH2687,1.0,27,7.047585580863324,3.986141436802336,3.630553759326915,-5.29486560136899,-30.675031186232438,-18.098681378047626
28,CH2690,0.0,28,151.51580894314426,-33.84662792095777,-3.9921466959511234,-0.254205319167772,25.177475062725655,-5.543459468813438
29,CH2698,1.0,29,-29.593752310433455,-34.831307498605305,-3.433826640830771,1.491709495346786,20.933914800228358,8.562591391009107
30,CH2699,1.0,30,-12.357415004558824,-5.910053878757725,20.442946833069897,4.01866206732835,-63.754278109448094,28.571525322981778
31,CH2705,1.0,31,31.05932629507686,-7.940374400143427,3.345735452123214,-6.6284379048440165,-39.23617587427181,-12.842105320038222
32,CH2706,1.0,32,2.3197209004359767,-25.251261744391815,-3.3913284719837535,4.384834707026171,25.606252353565672,7.246045563869636
33,CH2707,1.0,33,138.30198093190734,-25.53091778736097,-5.353274469033026,-2.790080137424601,28.199047864629115,-2.7398933649492605
34,CH2713,1.0,34,108.54880558819953,2.117708904216085,1.9471278901924611,-9.775408666211943,-29.198848262371143,-50.639786361253634
36,CH2724,1.0,36,-12.381339204296545,-16.250039117074877,-6.737632264961528,-4.598108910779472,27.5586936132036,-1.2886830304501586
38,CH2734,0.0,38,18.56194580710286,-28.644752494919622,0.6364584108684519,-4.891394583817999,-28.681610104677276,-25.775757675669972
39,CH2735,1.0,39,6.8485781642737,-33.86088503917067,-5.291376535262389,-1.9752953360652725,22.02049714282063,-7.147116343442839
40,CH2747,1.0,40,22.971509495494388,-33.063098076121825,-8.201525368374421,9.62923760149892,32.31002909212131,10.108750398798925
41,CH2748,1.0,41,4.501090720475976,28.70327391631859,16.74697744310659,-0.3558950618823342,-58.2645070612525,20.648867926800627
42,CH2756,0.0,42,-42.86682816044754,-9.095663462619575,-6.646312598708473,-1.4237028610432096,30.05125619030275,5.403491849493044
43,CH2764,0.0,43,-5.677335780722993,-17.352777477894627,-2.8887506257558266,-3.5010132509412086,13.200600397524,-0.5895878232969238
44,CH2824,1.0,44,8.342340424561984,-0.3434158155662078,-0.11691317629224529,-6.3845704639384575,-24.502003800838,-32.60853373697395
45,CH2829,0.0,45,49.550011156946205,-50.58899538983448,1.7521075883318673,-6.3447705059966335,-29.526268456783107,-37.734533903145945
46,CH2848,0.0,46,5.762265087119452,-8.766056850750424,-5.30444805054603,-4.678503959421233,25.600383747422207,-0.5498083017932416
47,CH2860,1.0,47,48.917693032104104,-8.203636959157471,-6.4413520755389415,-5.749711589341643,28.750524216634624,-11.755995203841131
48,CH2875,1.0,48,32.97065851288232,-24.78363965867926,-7.288120021219825,8.63685159664029,29.24771337240889,23.76835763028813
49,CH2922,0.0,49,-22.518696210896366,-38.223576947223776,-0.19600642578018346,-7.061532680289991,-23.029306855999167,-19.964146983614526
50,CH2939,0.0,50,19.294147034906008,2.559295445007821,-5.617403489891725,-6.24932501296391,21.5066055856149,-5.3193280962771325
51,CH3173,0.0,51,-50.74470890674123,18.915912871665377,21.441230294853522,4.3354223428500696,-65.44905095191027,30.06811876622819
52,CH3177,1.0,52,-14.102569298705243,2.7402782126043714,-6.79605911652418,-5.404827911093481,28.124274804444397,-3.236359670183269
53,CH3290,1.0,53,-23.179258353939055,-11.176073708177398,16.665164793418317,-3.8978272294018126,-62.94526852952938,24.25828184257262
54,CH3325,1.0,54,7.156091399318558,-1.858556829220915,-4.621255983936434,0.9281114833533959,25.64460437265342,9.265757834529865
55,CH3462,1.0,55,-28.148114872322893,3.1199403104895636,1.3944090953973105,-9.751426838970847,-30.342760954865998,-45.729905600008266
56,CH3466,1.0,56,16.156819729136654,-35.14114523251961,-6.021940654349229,-1.2688142437916605,30.005781581428856,-0.11306393633224587
57,CH3484,1.0,57,-43.88580153798028,-1.762644955200041,-4.039892273628816,1.6462447078052769,29.554264754450045,10.504331753799562
59,CH3570,0.0,59,-50.77472577573052,-24.91897160756237,-6.35171976371192,-1.5890500131255312,31.644028447019544,-10.653316194402485
60,CH3613,1.0,60,0.599922330391092,-16.2344411568912,-2.8993344778047416,2.8315259524977474,21.002541818046737,14.373282367794381
61,CH3648,0.0,61,1.8383159330487804,0.13386647138921845,21.141672594352112,5.003998589259618,-62.92518297207806,27.366148449528943
62,CH3797,1.0,62,-103.78206140879979,22.15676764253394,2.321132574918514,-4.532604203091639,-29.87800755931948,-27.621864064964477
64,CH3906,0.0,64,-86.36974896139978,-22.277474296509393,-4.263521018240101,1.4920381852915803,29.06561551951018,9.083238349441174
66,CH4083,1.0,66,-59.895638806425694,-11.030462759257741,-5.353186227391292,-3.0060144085334413,24.332691510198806,-10.123700613618077
67,CH4411,0.0,67,-69.43219122033942,16.542182417505657,-5.543496093150152,1.339368449281677,25.01328383970848,15.346654187721732
68,CH4418,0.0,68,-36.48198588880441,19.29746573955271,11.188482974700808,-0.6913809970635807,-54.34503025799407,13.33791786828968
69,CH4433,0.0,69,-48.291988670521896,-1.9974045566999143,-0.5543658778112259,-4.154676457836616,-17.614615926055926,-16.89071202016575
71,CH4443,0.0,71,-95.10469141840812,16.768924998916365,-8.504430574858908,9.534738138778662,32.20899194918711,15.140409874034823
73,CH4489,1.0,73,-28.236195041223656,-23.507273479483814,1.1080375569217487,-9.008277022961375,-25.26010759155932,-38.18047726735045
74,CH4509,0.0,74,-81.2805847117499,-7.127625798942331,-6.6980348800364276,-1.3360881568535472,31.067029458386948,-4.653108979244301
75,CH4520,0.0,75,-73.94320147168814,-18.944089652071145,-5.877310895992816,5.741748875179855,26.546158906601676,-0.4614835185117343
77,CH4548,0.0,77,-43.98071920310496,-0.41692092414846316,22.246451389621765,4.270050492348737,-65.13286877453844,28.695760666995177
79,CH4560,1.0,79,-1.8956860027569251,-2.669138777773803,17.41240346918726,3.945075868430518,-56.095492538074325,11.472900000450458
80,CH4584,1.0,80,25.283893613785125,-15.545155895845028,-5.2383437378274245,-3.289076191482998,24.408421998727768,-10.365609656702816
82,CH4602,0.0,82,-69.72107244604733,-30.847491875986876,20.23584132521596,4.0528509176271506,-64.64193891909379,27.994720968748716
83,CH4634,1.0,83,-87.2976936447055,27.026797444727617,4.047540568741367,-0.41773109178355483,-30.076925942789067,-24.124308756612322
84,CH4681,0.0,84,-95.01978744813057,-18.294274356092508,-6.363162065485976,-3.0836384749965067,29.556669618441298,-10.170915194212746
85,CH4684,0.0,85,-49.38201634265576,-6.348729605517281,-3.7705709835088523,-5.5449997250172816,0.18277206742591545,-15.252278323669067
86,CH4703,1.0,86,20.087128788846677,-1.9701669500656545,-6.039674323244917,-1.972731239570808,26.315219180303544,2.590161655256537
87,CH4704,1.0,87,-30.337146580969634,-28.72029538353821,-6.020441617377244,-3.744119359323654,27.884009222221472,-6.555698818456527
88,CH4733,0.0,88,-32.8978057276155,17.543282190315033,-5.275997543683098,-0.2857656186895774,22.34919727740874,14.090373389192173
89,CH4745,1.0,89,16.17368069666259,-30.592266984549887,22.09525512496096,4.546674834901495,-65.15778700177182,28.74668099224379
90,CH4755,1.0,90,44.13567143323706,-28.924779091007455,-3.954371691633247,3.7920312834456738,28.595372654773705,6.8746698794446175
91,CH4757,1.0,91,-13.252481811072537,-18.847329673013473,1.4038728568250893,-7.381019318917895,-29.079681529925196,-45.87770347942322
92,CH4766,1.0,92,26.75043150206025,-1.4329090658557277,-4.323961699046292,-3.4551406603887145,18.931528874131097,-0.2725583315443174
93,CH4780,1.0,93,13.734734938423355,-8.052475928446473,-4.643019148191939,-5.5895150980062,10.313608357133312,-14.326323370422116
94,CH4785,1.0,94,8.332420530585217,-24.792117178320865,-5.321778273733711,4.893905558626981,26.5165521170237,-1.329994397913623
95,CH4840,1.0,95,-6.390699423320425,-42.72296345632746,-3.5627242129450756,-0.43090371357844326,24.71957528751667,12.392061371103743
96,CH4860,1.0,96,3.7114706064987746,-30.193686625014056,-4.0314599693759705,2.763670538476388,29.076834289069126,8.164217783103723
97,CH4862,1.0,97,31.60898579687942,-4.925449817075556,0.9452717414208194,-7.099066962414909,-26.340308514245702,-27.399678898742057
98,CH4877,1.0,98,33.674552940596584,-14.369839038623335,4.513259870656667,-3.2197697704169395,-38.96437285719617,-10.428340522095326
100,CH4891,0.0,100,-28.618478059545755,-9.720445464885634,-4.460677766623121,1.8971204711054224,28.991299970652037,10.092259311893898
101,CH4914,0.0,101,-124.04797110136158,-20.319805673089302,-3.0148303257268534,1.698123876188797,19.610458465552924,7.8833888579692655
102,CH4916,1.0,102,10.091690138066278,-28.752149844897346,20.86338811789783,4.539150367248698,-64.57393413511639,27.825783177935854
103,CH4990,1.0,103,-59.10415786489978,37.53478829547584,-7.891484203879228,10.182983120334194,29.17210884498295,23.626600924020103
105,CH5022,1.0,105,-8.599840353534981,-14.439126802192506,19.73846822663016,4.814288003804746,-56.45770726974271,15.321031633629339
107,CH5066,0.0,107,-15.042661487349323,15.374289130235383,-6.255530510567416,-1.8584883939788073,28.77870497349285,-5.8403191695131085
108,CH5159,0.0,108,-28.785773804485036,43.514092872357175,21.42154618774313,4.203331317277755,-63.158558168497045,24.43975270539955
109,CH5174,1.0,109,-50.76955260254755,-0.3855530597939168,16.45893235368258,2.239018267946985,-57.11131784165947,10.16069354102774
110,CH5182,1.0,110,-8.047906130027801,-15.566971597740421,-5.007298758199955,-4.862821683167941,25.96604786844268,-7.435667309140818
111,CH5193,0.0,111,34.63757639415816,28.22791424880922,22.06204257807126,4.3092474418793465,-65.97944883253878,30.43691450775649
112,CH5206,0.0,112,32.25576402166499,43.49143607749864,-3.1727985023954672,-5.651245850508293,-1.1819851115423958,-12.474443644979608
113,CH5262,0.0,113,50.21085247499392,-47.44793969516791,-5.8720477394665895,-4.185695874844762,27.270347917069294,-2.653712931899797
114,CH5267,1.0,114,-8.763646899579404,-34.268167080970265,5.654255689274483,-0.9754672009353609,-33.2188568916778,-24.373129998932356
115,CH5291,1.0,115,14.546010826763522,-31.108917655435906,-2.6696429008255462,-3.2291953652172394,14.91077423571484,-6.145846056897007
116,CH5334,1.0,116,-33.427547864260355,-21.01633544491039,6.55311961010215,-2.931151007069194,-37.66378921872852,-16.583310192294142
117,CH5353,1.0,117,-35.36803130208549,-2.7055387475602126,-5.969162684128836,-4.05220049030529,22.316639362176517,0.3145281299484708
118,CH5356,0.0,118,5.212325955529452,16.869141410836086,-4.489573954563916,2.003115691825295,25.135810776403474,7.998655612255462
120,CH5363,1.0,120,86.46534224050939,28.513447801140106,-4.985764884036827,-4.016913338100313,27.094978167687394,-1.1257595258723114
121,CH5387,1.0,121,12.128931615526739,-23.486601332265835,-3.157395983739666,-5.776509018309548,4.635710014191517,-22.322731587712322
122,CH5432,1.0,122,61.73104887365549,26.955338201098062,-2.8895449119387218,1.1157161616745466,16.863518526009948,-3.7574859478935636
123,CH5462,1.0,123,-8.653647646905013,5.746129045137832,1.1910808931981807,-7.050035691108076,-29.668253825329128,-29.285436454420324
124,CH5464,1.0,124,-32.039704345623,-19.436418098560182,22.162576638185975,4.496199931712974,-66.1701158561862,30.38515200238208
125,CH5478,1.0,125,18.01942604883651,-6.373005531837334,-4.097911714962521,-0.395833089253836,24.156352238120228,-2.1585291249080854
128,CH5548,1.0,128,30.977749241012454,15.471059309100806,-5.404626989900053,-4.082324879217979,18.4459842041313,5.344988971632958
129,CH5550,1.0,129,36.9337602829339,-21.668008016717422,-5.450420875783609,-2.054757441775931,24.408541828420717,-6.890649704086805
130,CH5551,1.0,130,19.146842048180748,-37.405929483423755,-3.904699175670168,-1.00111691402872,18.657598018977332,14.915268491713341
131,CH5591,1.0,131,45.19289467484599,34.89260543185839,2.755144156443813,-6.788578105596274,-34.218501031723804,-25.796656565067853
132,CH5596,1.0,132,-23.207140544346693,-26.45881981173377,2.6853723296800664,-6.233735716752562,-28.22118644400614,-30.27846084887674
133,CH5597,1.0,133,-0.035936507691570606,-34.41899378672432,-6.35769526895247,-2.870051667073729,27.817386091998863,-7.452173104276206
134,CH5621,0.0,134,-4.452890196823977,-31.21216334711815,-4.900170694428399,-2.9571505496332184,24.299410664890615,-2.6112094594159245
135,CH5638,1.0,135,-22.813092447652654,-29.720503090644062,-4.586545765652874,3.3292066329857057,23.357094345963425,10.457906040215562
136,CH5666,1.0,136,-20.62139052295149,4.645551743347181,22.184376563155105,4.261619501487296,-63.789652289615425,25.053710856693733
