,Strain,Tob,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
0,CF592_Iso2,0.0,0,-11.016246973169176,27.127164952440502,0.5027941388545121,-6.420883094815121,-26.891052321931554,-32.080064970380434
2,CH2500,0.0,2,-38.671394212920404,-18.940965688367832,2.767353658633982,-8.163429543096461,-33.247348599688124,-41.26447521769391
3,CH2502,0.0,3,15.714774270250862,-10.002297396712931,-4.503520259884625,0.7255307624115144,24.169631076438375,12.884345006866333
4,CH2522,0.0,4,39.04420714687299,-48.9647397415871,-6.258080040872982,-2.162321176585314,31.008591153862678,-3.633329034800127
5,CH2527,0.0,5,61.756554547257856,-44.02249020760243,-5.688060878002531,0.8864070726214202,21.49585262377357,14.812959799393852
6,CH2543,1.0,6,9.810239465397434,-14.339723899374025,21.231311721493146,4.057689262567054,-65.11946368685896,31.943552048755357
7,CH2560,1.0,7,0.041107463148113775,5.659575578292638,22.0444196905984,4.330315139752397,-65.21086881185455,32.18236168256137
8,CH2582,0.0,8,-4.340453193920479,-14.112480867170529,-5.782685842806847,-0.39130153287880276,29.720764672460017,3.7955116025274904
9,CH2591,1.0,9,-1.1526733790671815,-16.691836777586232,21.97654442340604,4.194807488909214,-64.56755567022851,30.93992011409906
10,CH2597,0.0,10,67.67190006958359,-39.02794808655411,-6.384608199925227,-4.285314339331368,26.653017379022334,-7.9891652759675935
11,CH2598,0.0,11,32.693140178449205,-15.592920087378598,-4.79698721439036,-3.8222477432122206,25.56744389536971,0.6978518150092157
12,CH2608,1.0,12,22.291305721544543,-38.20358422343769,17.13127559076866,-1.3675199609877122,-58.54146478104835,11.517973057375109
13,CH2623,1.0,13,-8.381723490140876,-45.26963466209072,-3.6830210713024982,-1.1793340641935162,19.31872896297529,17.40669467645092
14,CH2639,1.0,14,-13.782423481531419,-3.9422070810633603,22.33943138901099,4.424016261313518,-65.8375718902762,33.49546652407019
15,CH2657,1.0,15,21.992570165573042,27.109337504577912,21.833759244118287,4.598417286725239,-65.69904964253182,33.131390747450034
16,CH2658,0.0,16,53.71903751084072,-25.233882227020256,-2.7834351695256583,-0.2997783252898696,14.91205551430323,10.493049176789583
17,CH2660,0.0,17,23.858340964406363,-18.91700464556989,-5.535523586330841,-5.452697683445143,27.827889956249084,-8.944141197496755
18,CH2665,1.0,18,38.01402527677819,-30.013068588598685,3.991663825357014,-6.640944433130601,-35.84811485035665,-24.00349017212454
19,CH2672,0.0,19,-10.06404733473791,27.06969937540353,6.1123963005657,-1.6548537817543698,-35.04818968486808,-22.170846245699636
20,CH2674,1.0,20,94.0232718651074,60.6418644548515,17.393117049432536,-0.7215768873503574,-59.78711775193724,18.070439706301052
21,CH2675,1.0,21,-19.003431707922587,10.013953315282897,20.637260289707587,4.137455851350364,-63.16248950211342,29.732666176908545
22,CH2677,0.0,22,-18.733984354373973,-14.34553871727239,0.405094685437662,-6.376482177810718,-25.016648881205853,-31.138112315950426
23,CH2678,0.0,23,33.20069732243564,11.975659941963928,-5.0665023063566075,-4.109998309218969,23.530992815657182,-1.1692292536831204
24,CH2680,0.0,24,-25.0143345286931,-16.72501829496997,-4.636651244775647,-4.077103701397927,23.146952115360445,-9.423314067650786
25,CH2682,0.0,25,25.620327273041358,-16.85970336116291,-5.300994818231174,1.1557727086594198,23.41451137279577,17.16171729947589
26,CH2685,0.0,26,93.08769450548509,-66.49267346530993,1.0235649816082557,-5.959811121621392,-28.933354564498735,-29.004487069064762
27,CH2687,0.0,27,7.293205672244536,3.2080993995088587,4.07736541578771,-5.050618858455815,-32.07389751326934,-17.525339874787313
